station_id,station_name,station_code,notes
14-bis,14 Bis,,
aacd-servidor,AACD-Servidor,,
abc,Abc,,
abel-ferreira,Abel Ferreira,,
abraao-de-morais,Abraão De Morais,,
aclimacao,Aclimacao,,
adolfo-pinheiro,Adolfo Pinheiro,,
aeroporto-de-congonhas,Aeroporto De Congonhas,,
aeroporto-guarulhos,Aeroporto Guarulhos,,
afonsina,Afonsina,,
agua-branca,Água Branca,,
alto-da-boa-vista,Alto da Boa Vista,,
alto-do-ipiranga,Alto do Ipiranga,aip,
alvaro-ramos,Álvaro Ramos,,
amador-bueno,Amador Bueno,,
ambuita,Ambuitá,,
americo-maurano,Américo Maurano,,
ana-rosa,Ana Rosa,anr,
analia-franco,Anália Franco,,
anhangabau,Anhangabaú,gbu,
antonio-gianetti-neto,Antonio Gianetti Neto,,
antonio-joao,Antônio João,,
aracare,Aracaré,,
araguaia,Araguaia,,
aricanduva,Aricanduva,,
arlindo-vieira,Arlindo Vieira,,
armenia,Armênia,ppq,
artur-alvim,Artur Alvim,art,
autodromo,Autódromo,,
baltazar-fidelis,Baltazar Fidelis,,
barueri,Barueri,,
bela-vista,Bela Vista,,
belem,Belém,bel,
berrini,Berrini,,
boa-esperanca,Boa Esperança,,
bom-pastor,Bom Pastor,,
bom-retiro,Bom Retiro,,
bonsucesso,Bonsucesso,,Reviewed merge: same complex; geometry rows span 552 m.
borba-gato,Borba Gato,,
bosque-maia,Bosque Maia,,
botujuru,Botujuru,,
bras,Brás,bas,Reviewed merge: same complex; geometry rows span 439 m.
bras-cubas,Brás Cubas,,
brasil,Brasil,,
brasilandia,Brasilândia,,
bresser-mooca,Bresser-Moóca,bre,
brigadeiro,Brigadeiro,bgd,
brooklin,Brooklin,,
brooklin-paulista,Brooklin Paulista,,
butanta,Butantã,,
caieiras,Caieiras,,
calmon-viana,Calmon Viana,,
cambuci,Cambuci,,
camilo-haddad,Camilo Haddad,cad,
campo-belo,Campo Belo,,
campo-limpo,Campo Limpo,,
campo-limpo-paulista,Campo Limpo Paulista,,
cangaiba,Cangaíba,,
capao-redondo,Capão Redondo,,
capuava,Capuava,,
carandiru,Carandiru,cdu,
carapicuiba,Carapicuíba,,
carrao,Carrão,car,
catumbi,Catumbi,,
ceasa,Ceasa,,
cerro-cora,Cerro Corá,,
chacara-do-joquei,Chácara Do Jóquei,,
chacara-klabin,Chácara Klabin,ckb,
chucri-zaidan,Chucri Zaidan,,
cidade-a-e-carvalho,Cidade A.e. Carvalho,,
cidade-jardim,Cidade Jardim,,
cidade-leonor,Cidade Leonor,,
cidade-tiradentes,Cidade Tiradentes,,
cidade-universitaria,Cidade Universitária,,
clinicas,Clínicas,cli,
comandante-sampaio,Comandante Sampaio,,
comendador-ermelino,Comendador Ermelino,,
comendador-sant-anna,Comendador Sant'anna,,
conceicao,Conceição,con,
consolacao,Consolação,cns,
corinthians-itaquera,Corinthians-Itaquera,itq,
cotia,Cotia,,
cursino,Cursino,,
curuca,Curuçá,,
dante-pazzanese,Dante Pazzanese,,
demetrio-ribeiro,Demétrio Ribeiro,,
dom-bosco,Dom Bosco,,
dom-pedro-i,Dom Pedro I,,
domingos-de-morais,Domingos De Morais,,
donatello,Donatello,,
dutra,Dutra,,
eiras-garcia,Eiras Garcia,,
engenheiro-cardoso,Engenheiro Cardoso,,
engenheiro-goulart,Engenheiro Goulart,,
engenheiro-manoel-feio,Engenheiro Manoel Feio,,
estadio-morumbi,Estádio Morumbi,,
estrada-do-embu,Estrada Do Embu,,
estudantes,Estudantes,,
eucaliptos,Eucaliptos,,
faap-pacaembu,Faap-Pacaembu,,
faria-lima,Faria Lima,,
fazenda-da-juta,Fazenda da Juta,fjt,
ferraz-de-vasconcelos,Ferraz De Vasconcelos,,
fradique-coutinho,Fradique Coutinho,,
francisco-morato,Francisco Morato,,
franco-da-rocha,Franco Da Rocha,,
freguesia-do-o,Freguesia Do Ó,,
gabriela-mistral,Gabriela Mistral,,
general-miguel-costa,General Miguel Costa,,
giovanni-gronchi,Giovanni Gronchi,,
girassol,Girassol,,
grajau,Grajaú,,
granja-julieta,Granja Julieta,,
granja-viana,Granja Viana,,
guaianases,Guaianases,,
guaiauna,Guaiaúna,,
guapituba,Guapituba,,
guarulhos,Guarulhos,,
guarulhos-cecap,Guarulhos Cecap,,
guilherme-giorgi,Guilherme Giorgi,,
guilhermina-esperanca,Guilhermina-Esperança,vpa,
hebraica-reboucas,Hebraica-Rebouças,,
helio-pellegrino,Hélio Pellegrino,,
higienopolis-mackenzie,Higienópolis - Mackenzie,,
hortensias,Hortênsias,,
hosp-da-mulher-cidade-dos-meninos,Hosp. Da Mulher/Cidade Dos Meninos,,
hosp-santa-marcelina,Hosp. Santa Marcelina,,
hospital-cidade-tiradentes,Hospital Cidade Tiradentes,,
hospital-geral,Hospital Geral,,
hospital-jardim-helena,Hospital Jardim Helena,,
hospital-saboia,Hospital Saboia,,
hospital-sao-paulo,Hospital São Paulo,,
imperador,Imperador,,
imperatriz-leopoldina,Imperatriz Leopoldina,,
indianopolis,Indianópolis,,
integracao,Integração,,
ipiranga,Ipiranga,,
itaberaba-hospital-vila-penteado,Itaberaba-Hospital Vila Penteado,,
itaim-paulista,Itaim Paulista,,
itapegica,Itapegica,,
itapevi,Itapevi,,
itapura,Itapura,,
itaquaquecetuba,Itaquaquecetuba,,
jabaquara,Jabaquara,jab,
jacu-pessego,Jacu-Pêssego,,
jandira,Jandira,,
japao-liberdade,Japão-Liberdade,lib,
jaragua,Jaraguá,,
jardim-angela,Jardim Ângela,,
jardim-belval,Jardim Belval,,
jardim-boa-vista,Jardim Boa Vista,,
jardim-brasil,Jardim Brasil,,
jardim-colonial,Jardim Colonial,igt,
jardim-d-abril,Jardim D'abril,,
jardim-dos-eucaliptos,Jardim Dos Eucaliptos,,
jardim-esmeralda,Jardim Esmeralda,,
jardim-helena-vila-mara,Jardim Helena - Vila Mara,,
jardim-irene,Jardim Irene,,
jardim-itapolis,Jardim Itápolis,,
jardim-japao,Jardim Japão,,
jardim-julieta,Jardim Julieta,,
jardim-marilu,Jardim Marilu,,
jardim-paulista,Jardim Paulista,,
jardim-pedra-branca,Jardim Pedra Branca,,
jardim-planalto,Jardim Planalto,jpl,
jardim-presidente-dutra,Jardim Presidente Dutra,,
jardim-roberto,Jardim Roberto,,
jardim-romano,Jardim Romano,,
jardim-sao-paulo-ayrton-senna,Jardim São Paulo-Ayrton Senna,jpa,
jardim-silveira,Jardim Silveira,,
jardim-sorocaba,Jardim Sorocaba,,
jesuino-cardoso,Jesuíno Cardoso,,
joao-dias,João Dias,,
joao-paulo-i,João Paulo I,,
jose-bonifacio,José Bonifácio,,
jose-diniz,José Diniz,,
julio-prestes,Júlio Prestes,,
jundiai,Jundiaí,,
jundiapeba,Jundiapeba,,
jurubatuba,Jurubatuba,,
lajeado,Lajeado,,
lapa,Lapa,,
lapa-linha-7,Lapa (Linha 7),,
lapa-linha-8,Lapa (Linha 8),,
largo-treze,Largo Treze,,
liviero,Liviero,,
luz,Luz,luz,
macedo-soares,Macedo Soares,,
marechal-deodoro,Marechal Deodoro,deo,
maua,Mauá,,
mendes-bruno-covas,Mendes / Bruno Covas,,
mesopotamia,Mesopotâmia,,
miguel-couto,Miguel Couto,,
moema,Moema,,
mogi-das-cruzes,Mogi Das Cruzes,,
monte-belo,Monte Belo,,
mooca,Mooca,,
morro-grande,Morro Grande,,
morumbi,Morumbi,,
nova-granada,Nova Granada,,
nove-de-julho,Nove De Julho,,
oratorio,Oratório,ort,
orfanato,Orfanato,,
osasco,Osasco,,
oscar-freire,Oscar Freire,,
paes-de-barros,Paes De Barros,,
palmeiras-barra-funda,Palmeiras-Barra Funda,bfu,
panamby,Panamby,,
parada-inglesa,Parada Inglesa,pig,
paraiso,Paraíso,pso,
paraisopolis,Paraisópolis,,
pari,Pari,,
parque-aclimacao,Parque Aclimação,,
parque-alexandra,Parque Alexandra,,
parque-da-independencia,Parque Da Independência,,
parque-da-lagoa,Parque Da Lagoa,,
parque-da-mooca,Parque Da Mooca,,
parque-do-carmo,Parque Do Carmo,,
parque-ibirapuera,Parque Ibirapuera,,
parque-oratorio-nevada,Parque Oratório/Nevada,,
patriarca,Patriarca,pca,
paulista,Paulista,,
paulo-freire,Paulo Freire,,
pedro-ii,Pedro II,pds,
penha,Penha,pen,
penha-de-franca,Penha De França,,
perdizes,Perdizes,,
perus,Perus,,
pimentas,Pimentas,,
pinheiros,Pinheiros,,
piqueri,Piqueri,,
pirituba,Pirituba,,
poa,Poá,,
ponte-grande,Ponte Grande,,
portugal,Portugal,,
portuguesa-tiete,Portuguesa-Tietê,tte,
praca-da-arvore,Praça da Árvore,arv,
prefeito-celso-daniel-santo-andre,Prefeito Celso Daniel - Santo André,,
prefeito-saladino,Prefeito Saladino,,
presidente-altino,Presidente Altino,,
primavera-interlagos,Primavera - Interlagos,,
principe-de-gales,Príncipe De Gales,,
puc-cardoso-de-almeida,Puc-Cardoso De Almeida,,
quitauna,Quitaúna,,
regente-feijo,Regente Feijó,,
republica,República,rep,
ribeirao-pires,Ribeirão Pires,,
ricardo-jafet,Ricardo Jafet,,
rio-das-pedras-aricanduva,Rio Das Pedras/Aricanduva,,
rio-grande-da-serra,Rio Grande Da Serra,,
rio-negro,Rio Negro,,
rio-pequeno,Rio Pequeno,,
rubem-berta,Rubem Berta,,
rudge-ramos,Rudge Ramos,,
sabia,Sabiá,,
sacoma,Sacomã,sac,
sacramento,Sacramento,,
sagrado-coracao,Sagrado Coração,,
sanazar,Sanazar,,
santa-cecilia,Santa Cecília,cec,
santa-clara,Santa Clara,,
santa-cruz,Santa Cruz,scz,
santa-isabel,Santa Isabel,,
santa-maria,Santa Maria,,
santa-marina,Santa Marina,,
santa-rita,Santa Rita,,
santa-terezinha,Santa Terezinha,,
santana,Santana,san,
santo-amaro,Santo Amaro,,
santo-amaro-linha-9,Santo Amaro (Linha 9),,
santo-andre,Santo André,,
santo-antonio-metro,Santo Antônio,,"Reviewed split: same name, stations are 12.76 km apart."
santo-antonio-train,Santo Antônio,,"Reviewed split: same name, stations are 12.76 km apart."
santos-imigrantes,Santos-Imigrantes,img,
