station_name_raw,station_member_id,source,notes
AACD-Servidor,aacd-servidor,dataverse_averages,
Adolfo Pinheiro,adolfo-pinheiro,dataverse_averages,
Alto da Boa Vista,alto-da-boa-vista,dataverse_averages,
Borba Gato,borba-gato,dataverse_averages,
Brooklin,brooklin,dataverse_averages,
Butantã,butanta,dataverse_averages,
Campo Belo,campo-belo,dataverse_averages,
Campo Limpo,campo-limpo,dataverse_averages,
Capão Redondo,capao-redondo,dataverse_averages,
Chácara Klabin,chacara-klabin,dataverse_averages,
Eucaliptos,eucaliptos,dataverse_averages,
Faria Lima,faria-lima,dataverse_averages,
Fradique Coutinho,fradique-coutinho,dataverse_averages,
Giovanni Gronchi,giovanni-gronchi,dataverse_averages,
Higienópolis - Mackenzie,higienopolis-mackenzie,dataverse_averages,
Hospital São Paulo,hospital-sao-paulo,dataverse_averages,
Largo Treze,largo-treze,dataverse_averages,
Luz,luz,dataverse_averages,
Moema,moema,dataverse_averages,
Oscar Freire,oscar-freire,dataverse_averages,
Paulista,paulista,dataverse_averages,
Pinheiros,pinheiros,dataverse_averages,
República,republica,dataverse_averages,
Santa Cruz,santa-cruz,dataverse_averages,
Santo Amaro,santo-amaro,dataverse_averages,
São Paulo - Morumbi,sao-paulo-morumbi,dataverse_averages,
Vila Sônia,vila-sonia,dataverse_averages,
Vila das Belezas,vila-das-belezas,dataverse_averages,
AACD-Servidor,aacd-servidor,dataverse_daily,
Adolfo Pinheiro,adolfo-pinheiro,dataverse_daily,
Alto da Boa Vista,alto-da-boa-vista,dataverse_daily,
Borba Gato,borba-gato,dataverse_daily,
Brooklin,brooklin,dataverse_daily,
Butantã,butanta,dataverse_daily,
Campo Belo,campo-belo,dataverse_daily,
Campo Limpo,campo-limpo,dataverse_daily,
Capão Redondo,capao-redondo,dataverse_daily,
Chácara Klabin,chacara-klabin,dataverse_daily,
Eucaliptos,eucaliptos,dataverse_daily,
Faria Lima,faria-lima,dataverse_daily,
Fradique Coutinho,fradique-coutinho,dataverse_daily,
Giovanni Gronchi,giovanni-gronchi,dataverse_daily,
Higienópolis - Mackenzie,higienopolis-mackenzie,dataverse_daily,
Hospital São Paulo,hospital-sao-paulo,dataverse_daily,
Largo Treze,largo-treze,dataverse_daily,
Luz,luz,dataverse_daily,
Moema,moema,dataverse_daily,
Oscar Freire,oscar-freire,dataverse_daily,
Paulista,paulista,dataverse_daily,
Pinheiros,pinheiros,dataverse_daily,
Santa Cruz,santa-cruz,dataverse_daily,
Santo Amaro,santo-amaro,dataverse_daily,
São Paulo - Morumbi,sao-paulo-morumbi,dataverse_daily,
Vila Sônia,vila-sonia,dataverse_daily,
Vila das Belezas,vila-das-belezas,dataverse_daily,
14 Bis,14-bis,geosampa_metro,
AACD-Servidor,aacd-servidor,geosampa_metro,
Abel Ferreira,abel-ferreira,geosampa_metro,
Abraão De Morais,abraao-de-morais,geosampa_metro,
Aclimacao,aclimacao,geosampa_metro,
Adolfo Pinheiro,adolfo-pinheiro,geosampa_metro,
Aeroporto De Congonhas,aeroporto-de-congonhas,geosampa_metro,
Afonsina,afonsina,geosampa_metro,
Alto da Boa Vista,alto-da-boa-vista,geosampa_metro,
Alto do Ipiranga,alto-do-ipiranga,geosampa_metro,
Américo Maurano,americo-maurano,geosampa_metro,
Ana Rosa,ana-rosa,geosampa_metro,
Anhangabaú,anhangabau,geosampa_metro,
Anália Franco,analia-franco,geosampa_metro,
Aricanduva,aricanduva,geosampa_metro,
Arlindo Vieira,arlindo-vieira,geosampa_metro,
Armênia,armenia,geosampa_metro,
Artur Alvim,artur-alvim,geosampa_metro,
Bela Vista,bela-vista,geosampa_metro,
Belém,belem,geosampa_metro,
Boa Esperança,boa-esperanca,geosampa_metro,
Bom Pastor,bom-pastor,geosampa_metro,
