date,line_number,metric_abb,metric,value,year
2012-01-01,4,max,Daily Peak,122637,2012
2012-01-01,4,mdo,Average on Sundays,24663.4,2012
2012-01-01,4,mdu,Average on Business Days,99339.63636363637,2012
2012-01-01,4,msa,Average on Saturdays,48876.25,2012
2012-01-01,4,total,Total,2504294,2012
2012-02-01,4,max,Daily Peak,131405,2012
2012-02-01,4,mdo,Average on Sundays,28556,2012
2012-02-01,4,mdu,Average on Business Days,122942.42105263157,2012
2012-02-01,4,msa,Average on Saturdays,53213.75,2012
2012-02-01,4,total,Total,2729638,2012
2012-03-01,4,max,Daily Peak,139876,2012
2012-03-01,4,mdo,Average on Sundays,33797.5,2012
2012-03-01,4,mdu,Average on Business Days,136345.9090909091,2012
2012-03-01,4,msa,Average on Saturdays,61847.2,2012
2012-03-01,4,total,Total,3444036,2012
2012-04-01,4,max,Daily Peak,142314,2012
2012-04-01,4,mdo,Average on Sundays,37073.8,2012
2012-04-01,4,mdu,Average on Business Days,134385.55,2012
2012-04-01,4,msa,Average on Saturdays,58270,2012
2012-04-01,4,total,Total,3140272,2012
2012-05-01,4,max,Daily Peak,144789,2012
2012-05-01,4,mdo,Average on Sundays,39570.5,2012
2012-05-01,4,mdu,Average on Business Days,136826.81818181818,2012
2012-05-01,4,msa,Average on Saturdays,69447.5,2012
2012-05-01,4,total,Total,3477493,2012
2012-06-01,4,max,Daily Peak,146186,2012
2012-06-01,4,mdo,Average on Sundays,37594.75,2012
2012-06-01,4,mdu,Average on Business Days,134423,2012
2012-06-01,4,msa,Average on Saturdays,63593.2,2012
2012-06-01,4,total,Total,3191041,2012
2012-07-01,4,max,Daily Peak,138378,2012
2012-07-01,4,mdo,Average on Sundays,34666.2,2012
2012-07-01,4,mdu,Average on Business Days,124985.63636363637,2012
2012-07-01,4,msa,Average on Saturdays,62935,2012
2012-07-01,4,total,Total,3174755,2012
2012-08-01,4,max,Daily Peak,149842,2012
2012-08-01,4,mdo,Average on Sundays,36472.5,2012
2012-08-01,4,mdu,Average on Business Days,144696.65217391305,2012
2012-08-01,4,msa,Average on Saturdays,68738,2012
2012-08-01,4,total,Total,3748865,2012
2012-09-01,4,max,Daily Peak,164423,2012
2012-09-01,4,mdo,Average on Sundays,37934.8,2012
2012-09-01,4,mdu,Average on Business Days,145149.8947368421,2012
2012-09-01,4,msa,Average on Saturdays,67140.8,2012
2012-09-01,4,total,Total,3328982,2012
2012-10-01,4,max,Daily Peak,153728,2012
2012-10-01,4,mdo,Average on Sundays,37954.75,2012
2012-10-01,4,mdu,Average on Business Days,144719.13636363635,2012
2012-10-01,4,msa,Average on Saturdays,67591.25,2012
2012-10-01,4,total,Total,3647236,2012
2012-11-01,4,max,Daily Peak,156242,2012
2012-11-01,4,mdo,Average on Sundays,39791.25,2012
2012-11-01,4,mdu,Average on Business Days,138511.25,2012
2012-11-01,4,msa,Average on Saturdays,64603.75,2012
2012-11-01,4,total,Total,3272363,2012
2012-12-01,4,max,Daily Peak,154427,2012
2012-12-01,4,mdo,Average on Sundays,40245.6,2012
2012-12-01,4,mdu,Average on Business Days,127393.4,2012
2012-12-01,4,msa,Average on Saturdays,68100.8,2012
2012-12-01,4,total,Total,3116843,2012
2013-01-01,4,max,Daily Peak,139025,2013
2013-01-01,4,mdo,Average on Sundays,33983.25,2013
2013-01-01,4,mdu,Average on Business Days,122802.13636363637,2013
2013-01-01,4,msa,Average on Saturdays,56639.75,2013
2013-01-01,4,total,Total,3086888,2013
2013-02-01,4,max,Daily Peak,161422,2013
2013-02-01,4,mdo,Average on Sundays,36190.75,2013
2013-02-01,4,mdu,Average on Business Days,146324.44444444444,2013
2013-02-01,4,msa,Average on Saturdays,65878.5,2013
2013-02-01,4,total,Total,3128999,2013
2013-03-01,4,max,Daily Peak,169331,2013
2013-03-01,4,mdo,Average on Sundays,42144.6,2013
2013-03-01,4,mdu,Average on Business Days,156486.55,2013
2013-03-01,4,msa,Average on Saturdays,74194,2013
2013-03-01,4,total,Total,3762734,2013
2013-04-01,4,max,Daily Peak,162236,2013
2013-04-01,4,mdo,Average on Sundays,39414.25,2013
2013-04-01,4,mdu,Average on Business Days,157048.86363636365,2013
2013-04-01,4,msa,Average on Saturdays,76576,2013
2013-04-01,4,total,Total,3919036,2013
2013-05-01,4,max,Daily Peak,164454,2013
2013-05-01,4,mdo,Average on Sundays,42326.5,2013
2013-05-01,4,mdu,Average on Business Days,155502.2857142857,2013
2013-05-01,4,msa,Average on Saturdays,79370.5,2013
2013-05-01,4,total,Total,3835601,2013
2013-06-01,4,max,Daily Peak,186319,2013
2013-06-01,4,mdo,Average on Sundays,39189.2,2013
2013-06-01,4,mdu,Average on Business Days,160837.75,2013
2013-06-01,4,msa,Average on Saturdays,75070.2,2013
2013-06-01,4,total,Total,3788052,2013
2013-07-01,4,max,Daily Peak,157589,2013
2013-07-01,4,mdo,Average on Sundays,40522.75,2013
2013-07-01,4,mdu,Average on Business Days,138863.34782608695,2013
2013-07-01,4,msa,Average on Saturdays,70763,2013
2013-07-01,4,total,Total,3639000,2013
2013-08-01,4,max,Daily Peak,170830,2013
2013-08-01,4,mdo,Average on Sundays,42768.75,2013
2013-08-01,4,mdu,Average on Business Days,163932.63636363635,2013
2013-08-01,4,msa,Average on Saturdays,78083.2,2013
2013-08-01,4,total,Total,4168009,2013
2013-09-01,4,max,Daily Peak,170543,2013
2013-09-01,4,mdo,Average on Sundays,38264.6,2013
2013-09-01,4,mdu,Average on Business Days,163125.09523809524,2013
2013-09-01,4,msa,Average on Saturdays,74252.75,2013
2013-09-01,4,total,Total,3913961,2013
2013-10-01,4,max,Daily Peak,174687,2013
2013-10-01,4,mdo,Average on Sundays,39379,2013
2013-10-01,4,mdu,Average on Business Days,163703.95652173914,2013
2013-10-01,4,msa,Average on Saturdays,75280.75,2013
2013-10-01,4,total,Total,4223830,2013
2013-11-01,4,max,Daily Peak,181993,2013
2013-11-01,4,mdo,Average on Sundays,37222.5,2013
2013-11-01,4,mdu,Average on Business Days,162900.55,2013
2013-11-01,4,msa,Average on Saturdays,74243.8,2013
2013-11-01,4,total,Total,3831971,2013
2013-12-01,4,max,Daily Peak,172121,2013
2013-12-01,4,mdo,Average on Sundays,41011.6,2013
2013-12-01,4,mdu,Average on Business Days,141533.85714285713,2013
2013-12-01,4,msa,Average on Saturdays,77115.25,2013
2013-12-01,4,total,Total,3510385,2013
2014-01-01,4,max,Daily Peak,160026,2014
2014-01-01,4,mdo,Average on Sundays,34840.5,2014
2014-01-01,4,mdu,Average on Business Days,142800.95454545456,2014
2014-01-01,4,msa,Average on Saturdays,62215.5,2014
2014-01-01,4,total,Total,3552874,2014
2014-02-01,4,max,Daily Peak,193002,2014
2014-02-01,4,mdo,Average on Sundays,41079.75,2014
2014-02-01,4,mdu,Average on Business Days,167495.65,2014
2014-02-01,4,msa,Average on Saturdays,74150,2014
