date,year,line_number,station_code,station_name,passengers
2012-01-01,2012,4,NA,Butantã,7742
2012-01-01,2012,4,NA,Faria Lima,4737
2012-01-01,2012,4,NA,Luz,695
2012-01-01,2012,4,NA,Paulista,2277
2012-01-01,2012,4,NA,Pinheiros,332
2012-01-02,2012,4,NA,Butantã,25317
2012-01-02,2012,4,NA,Faria Lima,21930
2012-01-02,2012,4,NA,Luz,3923
2012-01-02,2012,4,NA,Paulista,14356
2012-01-02,2012,4,NA,Pinheiros,3910
2012-01-03,2012,4,NA,Butantã,30547
2012-01-03,2012,4,NA,Faria Lima,27319
2012-01-03,2012,4,NA,Luz,3953
2012-01-03,2012,4,NA,Paulista,17712
2012-01-03,2012,4,NA,Pinheiros,4916
2012-01-04,2012,4,NA,Butantã,32528
2012-01-04,2012,4,NA,Faria Lima,28666
2012-01-04,2012,4,NA,Luz,4167
2012-01-04,2012,4,NA,Paulista,18452
2012-01-04,2012,4,NA,Pinheiros,5105
2012-01-05,2012,4,NA,Butantã,33227
2012-01-05,2012,4,NA,Faria Lima,29205
2012-01-05,2012,4,NA,Luz,4073
2012-01-05,2012,4,NA,Paulista,18396
2012-01-05,2012,4,NA,Pinheiros,5210
2012-01-06,2012,4,NA,Butantã,34399
2012-01-06,2012,4,NA,Faria Lima,31087
2012-01-06,2012,4,NA,Luz,4416
2012-01-06,2012,4,NA,Paulista,18709
2012-01-06,2012,4,NA,Pinheiros,5111
2012-01-07,2012,4,NA,Butantã,18844
2012-01-07,2012,4,NA,Faria Lima,15227
2012-01-07,2012,4,NA,Luz,3830
2012-01-07,2012,4,NA,Paulista,6782
2012-01-07,2012,4,NA,Pinheiros,1292
2012-01-08,2012,4,NA,Butantã,11021
2012-01-08,2012,4,NA,Faria Lima,8538
2012-01-08,2012,4,NA,Luz,1189
2012-01-08,2012,4,NA,Paulista,3202
2012-01-08,2012,4,NA,Pinheiros,735
2012-01-09,2012,4,NA,Butantã,35325
2012-01-09,2012,4,NA,Faria Lima,31484
2012-01-09,2012,4,NA,Luz,4671
2012-01-09,2012,4,NA,Paulista,19983
2012-01-09,2012,4,NA,Pinheiros,5421
2012-01-10,2012,4,NA,Butantã,35705
2012-01-10,2012,4,NA,Faria Lima,31791
2012-01-10,2012,4,NA,Luz,4558
2012-01-10,2012,4,NA,Paulista,20323
2012-01-10,2012,4,NA,Pinheiros,5520
2012-01-11,2012,4,NA,Butantã,36287
2012-01-11,2012,4,NA,Faria Lima,31966
2012-01-11,2012,4,NA,Luz,4470
2012-01-11,2012,4,NA,Paulista,20766
2012-01-11,2012,4,NA,Pinheiros,5622
2012-01-12,2012,4,NA,Butantã,38077
2012-01-12,2012,4,NA,Faria Lima,33309
2012-01-12,2012,4,NA,Luz,4650
2012-01-12,2012,4,NA,Paulista,20692
2012-01-12,2012,4,NA,Pinheiros,5788
2012-01-13,2012,4,NA,Butantã,39154
2012-01-13,2012,4,NA,Faria Lima,34156
2012-01-13,2012,4,NA,Luz,4744
2012-01-13,2012,4,NA,Paulista,21125
2012-01-13,2012,4,NA,Pinheiros,5892
2012-01-14,2012,4,NA,Butantã,20001
2012-01-14,2012,4,NA,Faria Lima,16332
2012-01-14,2012,4,NA,Luz,2989
2012-01-14,2012,4,NA,Paulista,7563
2012-01-14,2012,4,NA,Pinheiros,1318
2012-01-15,2012,4,NA,Butantã,10889
2012-01-15,2012,4,NA,Faria Lima,8242
2012-01-15,2012,4,NA,Luz,905
2012-01-15,2012,4,NA,Paulista,3411
2012-01-15,2012,4,NA,Pinheiros,641
2012-01-16,2012,4,NA,Butantã,37797
2012-01-16,2012,4,NA,Faria Lima,33042
2012-01-16,2012,4,NA,Luz,4664
2012-01-16,2012,4,NA,Paulista,20951
2012-01-16,2012,4,NA,Pinheiros,5780
2012-01-17,2012,4,NA,Butantã,38802
2012-01-17,2012,4,NA,Faria Lima,34438
2012-01-17,2012,4,NA,Luz,4608
2012-01-17,2012,4,NA,Paulista,21591
2012-01-17,2012,4,NA,Pinheiros,5982
2012-01-18,2012,4,NA,Butantã,39259
2012-01-18,2012,4,NA,Faria Lima,34348
2012-01-18,2012,4,NA,Luz,4686
2012-01-18,2012,4,NA,Paulista,22063
2012-01-18,2012,4,NA,Pinheiros,5995
2012-01-19,2012,4,NA,Butantã,40257
2012-01-19,2012,4,NA,Faria Lima,34787
2012-01-19,2012,4,NA,Luz,4794
2012-01-19,2012,4,NA,Paulista,22367
2012-01-19,2012,4,NA,Pinheiros,6082
2012-01-20,2012,4,NA,Butantã,41511
2012-01-20,2012,4,NA,Faria Lima,35839
2012-01-20,2012,4,NA,Luz,5049
2012-01-20,2012,4,NA,Paulista,22262
2012-01-20,2012,4,NA,Pinheiros,6149
2012-01-21,2012,4,NA,Butantã,21558
2012-01-21,2012,4,NA,Faria Lima,17379
2012-01-21,2012,4,NA,Luz,3047
2012-01-21,2012,4,NA,Paulista,7804
2012-01-21,2012,4,NA,Pinheiros,1308
2012-01-22,2012,4,NA,Butantã,13181
2012-01-22,2012,4,NA,Faria Lima,9836
2012-01-22,2012,4,NA,Luz,1091
2012-01-22,2012,4,NA,Paulista,3822
2012-01-22,2012,4,NA,Pinheiros,731
2012-01-23,2012,4,NA,Butantã,40873
2012-01-23,2012,4,NA,Faria Lima,34660
2012-01-23,2012,4,NA,Luz,5005
2012-01-23,2012,4,NA,Paulista,23343
2012-01-23,2012,4,NA,Pinheiros,6035
2012-01-24,2012,4,NA,Butantã,43459
2012-01-24,2012,4,NA,Faria Lima,37503
2012-01-24,2012,4,NA,Luz,5331
2012-01-24,2012,4,NA,Paulista,22893
2012-01-24,2012,4,NA,Pinheiros,6350
2012-01-25,2012,4,NA,Butantã,19070
2012-01-25,2012,4,NA,Faria Lima,13225
2012-01-25,2012,4,NA,Luz,1728
2012-01-25,2012,4,NA,Paulista,7551
2012-01-25,2012,4,NA,Pinheiros,1841
2012-01-26,2012,4,NA,Butantã,41101
2012-01-26,2012,4,NA,Faria Lima,34832
2012-01-26,2012,4,NA,Luz,4875
2012-01-26,2012,4,NA,Paulista,22280
2012-01-26,2012,4,NA,Pinheiros,5959
2012-01-27,2012,4,NA,Butantã,41211
2012-01-27,2012,4,NA,Faria Lima,35288
2012-01-27,2012,4,NA,Luz,4635
2012-01-27,2012,4,NA,Paulista,22226
2012-01-27,2012,4,NA,Pinheiros,5841
2012-01-28,2012,4,NA,Butantã,21845
2012-01-28,2012,4,NA,Faria Lima,16188
2012-01-28,2012,4,NA,Luz,2908
2012-01-28,2012,4,NA,Paulista,7867
2012-01-28,2012,4,NA,Pinheiros,1423
2012-01-29,2012,4,NA,Butantã,12990
2012-01-29,2012,4,NA,Faria Lima,10777
2012-01-29,2012,4,NA,Luz,1118
2012-01-29,2012,4,NA,Paulista,4146
2012-01-29,2012,4,NA,Pinheiros,1069
2012-01-30,2012,4,NA,Butantã,43452
2012-01-30,2012,4,NA,Faria Lima,36197
2012-01-30,2012,4,NA,Luz,5667
2012-01-30,2012,4,NA,Paulista,23086
2012-01-30,2012,4,NA,Pinheiros,6102
2012-01-31,2012,4,NA,Butantã,48112
2012-01-31,2012,4,NA,Faria Lima,38688
2012-01-31,2012,4,NA,Luz,5489
2012-01-31,2012,4,NA,Paulista,23837
2012-01-31,2012,4,NA,Pinheiros,6511
2012-02-01,2012,4,NA,Butantã,44891
2012-02-01,2012,4,NA,Faria Lima,38358
2012-02-01,2012,4,NA,Luz,5210
2012-02-01,2012,4,NA,Paulista,23435
2012-02-01,2012,4,NA,Pinheiros,6750
2012-02-02,2012,4,NA,Butantã,45756
2012-02-02,2012,4,NA,Faria Lima,38853
2012-02-02,2012,4,NA,Luz,5371
2012-02-02,2012,4,NA,Paulista,23619
2012-02-02,2012,4,NA,Pinheiros,6745
2012-02-03,2012,4,NA,Butantã,46549
2012-02-03,2012,4,NA,Faria Lima,39737
2012-02-03,2012,4,NA,Luz,5438
2012-02-03,2012,4,NA,Paulista,23503
2012-02-03,2012,4,NA,Pinheiros,7021
2012-02-04,2012,4,NA,Butantã,24051
2012-02-04,2012,4,NA,Faria Lima,17914
2012-02-04,2012,4,NA,Luz,3215
2012-02-04,2012,4,NA,Paulista,8051
2012-02-04,2012,4,NA,Pinheiros,1588
