date,line_number,metric_abb,metric,value,year
2020-01-01,1,total,Total,23207,2020
2020-01-01,1,mdu,Média dos Dias Úteis,900,2020
2020-01-01,1,msa,Média dos Sábados,500,2020
2020-01-01,1,mdo,Média dos Domingos,300,2020
2020-01-01,1,max,Máxima Diária,1001,2020
2020-01-01,2,total,Total,13642,2020
2020-01-01,2,mdu,Média dos Dias Úteis,542,2020
2020-01-01,2,msa,Média dos Sábados,236,2020
2020-01-01,2,mdo,Média dos Domingos,164,2020
2020-01-01,2,max,Máxima Diária,598,2020
2020-01-01,3,total,Total,26292,2020
2020-01-01,3,mdu,Média dos Dias Úteis,1015,2020
2020-01-01,3,msa,Média dos Sábados,584,2020
2020-01-01,3,mdo,Média dos Domingos,343,2020
2020-01-01,3,max,Máxima Diária,1099,2020
2020-01-01,15,total,Total,1385,2020
2020-01-01,15,mdu,Média dos Dias Úteis,57,2020
2020-01-01,15,msa,Média dos Sábados,19,2020
2020-01-01,15,mdo,Média dos Domingos,10,2020
2020-01-01,15,max,Máxima Diária,64,2020
2020-01-01,NA,total,Total,64526,2020
2020-01-01,NA,mdu,Média dos Dias Úteis,2515,2020
2020-01-01,NA,msa,Média dos Sábados,1338,2020
2020-01-01,NA,mdo,Média dos Domingos,817,2020
2020-01-01,NA,max,Máxima Diária,2762,2020
2020-02-01,1,total,Total,23702,2020
2020-02-01,1,mdu,Média dos Dias Úteis,1048,2020
2020-02-01,1,msa,Média dos Sábados,606,2020
2020-02-01,1,mdo,Média dos Domingos,333,2020
2020-02-01,1,max,Máxima Diária,1107,2020
2020-02-01,2,total,Total,13971,2020
2020-02-01,2,mdu,Média dos Dias Úteis,641,2020
2020-02-01,2,msa,Média dos Sábados,297,2020
2020-02-01,2,mdo,Média dos Domingos,204,2020
2020-02-01,2,max,Máxima Diária,678,2020
2020-02-01,3,total,Total,26349,2020
2020-02-01,3,mdu,Média dos Dias Úteis,1151,2020
2020-02-01,3,msa,Média dos Sábados,693,2020
2020-02-01,3,mdo,Média dos Domingos,431,2020
2020-02-01,3,max,Máxima Diária,1209,2020
2020-02-01,15,total,Total,1454,2020
2020-02-01,15,mdu,Média dos Dias Úteis,68,2020
2020-02-01,15,msa,Média dos Sábados,36,2020
2020-02-01,15,mdo,Média dos Domingos,14,2020
2020-02-01,15,max,Máxima Diária,71,2020
2020-02-01,NA,total,Total,65476,2020
2020-02-01,NA,mdu,Média dos Dias Úteis,2907,2020
2020-02-01,NA,msa,Média dos Sábados,1625,2020
2020-02-01,NA,mdo,Média dos Domingos,982,2020
2020-02-01,NA,max,Máxima Diária,3054,2020
2020-03-01,1,total,Total,17319,2020
2020-03-01,1,mdu,Média dos Dias Úteis,679,2020
2020-03-01,1,msa,Média dos Sábados,337,2020
2020-03-01,1,mdo,Média dos Domingos,206,2020
2020-03-01,1,max,Máxima Diária,1114,2020
2020-03-01,2,total,Total,10608,2020
2020-03-01,2,mdu,Média dos Dias Úteis,423,2020
2020-03-01,2,msa,Média dos Sábados,176,2020
2020-03-01,2,mdo,Média dos Domingos,121,2020
2020-03-01,2,max,Máxima Diária,695,2020
2020-03-01,3,total,Total,20390,2020
2020-03-01,3,mdu,Média dos Dias Úteis,790,2020
2020-03-01,3,msa,Média dos Sábados,418,2020
2020-03-01,3,mdo,Média dos Domingos,266,2020
2020-03-01,3,max,Máxima Diária,1234,2020
2020-03-01,15,total,Total,NA,2020
2020-03-01,15,mdu,Média dos Dias Úteis,NA,2020
2020-03-01,15,msa,Média dos Sábados,NA,2020
2020-03-01,15,mdo,Média dos Domingos,NA,2020
2020-03-01,15,max,Máxima Diária,NA,2020
2020-03-01,NA,total,Total,48317,2020
2020-03-01,NA,mdu,Média dos Dias Úteis,1892,2020
2020-03-01,NA,msa,Média dos Sábados,930,2020
2020-03-01,NA,mdo,Média dos Domingos,593,2020
2020-03-01,NA,max,Máxima Diária,3040,2020
2020-04-01,1,total,Total,4839,2020
2020-04-01,1,mdu,Média dos Dias Úteis,198,2020
2020-04-01,1,msa,Média dos Sábados,109,2020
2020-04-01,1,mdo,Média dos Domingos,68,2020
2020-04-01,1,max,Máxima Diária,230,2020
2020-04-01,2,total,Total,3039,2020
2020-04-01,2,mdu,Média dos Dias Úteis,126,2020
2020-04-01,2,msa,Média dos Sábados,64,2020
2020-04-01,2,mdo,Média dos Domingos,39,2020
2020-04-01,2,max,Máxima Diária,136,2020
2020-04-01,3,total,Total,6862,2020
2020-04-01,3,mdu,Média dos Dias Úteis,280,2020
2020-04-01,3,msa,Média dos Sábados,158,2020
2020-04-01,3,mdo,Média dos Domingos,98,2020
2020-04-01,3,max,Máxima Diária,312,2020
2020-04-01,15,total,Total,NA,2020
2020-04-01,15,mdu,Média dos Dias Úteis,NA,2020
2020-04-01,15,msa,Média dos Sábados,NA,2020
2020-04-01,15,mdo,Média dos Domingos,NA,2020
2020-04-01,15,max,Máxima Diária,NA,2020
2020-04-01,NA,total,Total,14741,2020
2020-04-01,NA,mdu,Média dos Dias Úteis,604,2020
2020-04-01,NA,msa,Média dos Sábados,331,2020
2020-04-01,NA,mdo,Média dos Domingos,206,2020
2020-04-01,NA,max,Máxima Diária,678,2020
2020-05-01,1,total,Total,5429,2020
2020-05-01,1,mdu,Média dos Dias Úteis,229,2020
2020-05-01,1,msa,Média dos Sábados,126,2020
