date,line_number,metric_abb,metric,value,year
2020-01-01,1,total,Total,23207,2020
2020-01-01,1,mdu,Average on Business Days,900,2020
2020-01-01,1,msa,Average on Saturdays,500,2020
2020-01-01,1,mdo,Average on Sundays,300,2020
2020-01-01,1,max,Daily Peak,1001,2020
2020-01-01,2,total,Total,13642,2020
2020-01-01,2,mdu,Average on Business Days,542,2020
2020-01-01,2,msa,Average on Saturdays,236,2020
2020-01-01,2,mdo,Average on Sundays,164,2020
2020-01-01,2,max,Daily Peak,598,2020
2020-01-01,3,total,Total,26292,2020
2020-01-01,3,mdu,Average on Business Days,1015,2020
2020-01-01,3,msa,Average on Saturdays,584,2020
2020-01-01,3,mdo,Average on Sundays,343,2020
2020-01-01,3,max,Daily Peak,1099,2020
2020-01-01,15,total,Total,1385,2020
2020-01-01,15,mdu,Average on Business Days,57,2020
2020-01-01,15,msa,Average on Saturdays,19,2020
2020-01-01,15,mdo,Average on Sundays,10,2020
2020-01-01,15,max,Daily Peak,64,2020
2020-01-01,99,total,Total,64526,2020
2020-01-01,99,mdu,Average on Business Days,2515,2020
2020-01-01,99,msa,Average on Saturdays,1338,2020
2020-01-01,99,mdo,Average on Sundays,817,2020
2020-01-01,99,max,Daily Peak,2762,2020
2020-02-01,1,total,Total,23702,2020
2020-02-01,1,mdu,Average on Business Days,1048,2020
2020-02-01,1,msa,Average on Saturdays,606,2020
2020-02-01,1,mdo,Average on Sundays,333,2020
2020-02-01,1,max,Daily Peak,1107,2020
2020-02-01,2,total,Total,13971,2020
2020-02-01,2,mdu,Average on Business Days,641,2020
2020-02-01,2,msa,Average on Saturdays,297,2020
2020-02-01,2,mdo,Average on Sundays,204,2020
2020-02-01,2,max,Daily Peak,678,2020
2020-02-01,3,total,Total,26349,2020
2020-02-01,3,mdu,Average on Business Days,1151,2020
2020-02-01,3,msa,Average on Saturdays,693,2020
2020-02-01,3,mdo,Average on Sundays,431,2020
2020-02-01,3,max,Daily Peak,1209,2020
2020-02-01,15,total,Total,1454,2020
2020-02-01,15,mdu,Average on Business Days,68,2020
2020-02-01,15,msa,Average on Saturdays,36,2020
2020-02-01,15,mdo,Average on Sundays,14,2020
2020-02-01,15,max,Daily Peak,71,2020
2020-02-01,99,total,Total,65476,2020
2020-02-01,99,mdu,Average on Business Days,2907,2020
2020-02-01,99,msa,Average on Saturdays,1625,2020
2020-02-01,99,mdo,Average on Sundays,982,2020
2020-02-01,99,max,Daily Peak,3054,2020
2020-03-01,1,total,Total,17319,2020
2020-03-01,1,mdu,Average on Business Days,679,2020
2020-03-01,1,msa,Average on Saturdays,337,2020
2020-03-01,1,mdo,Average on Sundays,206,2020
2020-03-01,1,max,Daily Peak,1114,2020
2020-03-01,2,total,Total,10608,2020
2020-03-01,2,mdu,Average on Business Days,423,2020
2020-03-01,2,msa,Average on Saturdays,176,2020
2020-03-01,2,mdo,Average on Sundays,121,2020
2020-03-01,2,max,Daily Peak,695,2020
2020-03-01,3,total,Total,20390,2020
2020-03-01,3,mdu,Average on Business Days,790,2020
2020-03-01,3,msa,Average on Saturdays,418,2020
2020-03-01,3,mdo,Average on Sundays,266,2020
2020-03-01,3,max,Daily Peak,1234,2020
2020-03-01,15,total,Total,NA,2020
2020-03-01,15,mdu,Average on Business Days,NA,2020
2020-03-01,15,msa,Average on Saturdays,NA,2020
2020-03-01,15,mdo,Average on Sundays,NA,2020
