date,line_number,metric_abb,metric,value,year
2012-01-01,4,max,Máxima Diária,48112,2012
2012-01-01,4,mdo,Média dos Domingos,4932.68,2012
2012-01-01,4,mdu,Média dos Dias Úteis,19867.927272727287,2012
2012-01-01,4,msa,Média dos Sábados,9775.25,2012
2012-01-01,4,total,Total,2504294,2012
2012-02-01,4,max,Máxima Diária,53328,2012
2012-02-01,4,mdo,Média dos Domingos,5711.200000000001,2012
2012-02-01,4,mdu,Média dos Dias Úteis,24588.4842105263,2012
2012-02-01,4,msa,Média dos Sábados,10642.75,2012
2012-02-01,4,total,Total,2729638,2012
2012-03-01,4,max,Máxima Diária,57014,2012
2012-03-01,4,mdo,Média dos Domingos,6759.5,2012
2012-03-01,4,mdu,Média dos Dias Úteis,27269.181818181838,2012
2012-03-01,4,msa,Média dos Sábados,12369.439999999999,2012
2012-03-01,4,total,Total,3444036,2012
2012-04-01,4,max,Máxima Diária,57187,2012
2012-04-01,4,mdo,Média dos Domingos,7414.759999999999,2012
2012-04-01,4,mdu,Média dos Dias Úteis,26877.11000000001,2012
2012-04-01,4,msa,Média dos Sábados,11654,2012
2012-04-01,4,total,Total,3140272,2012
2012-05-01,4,max,Máxima Diária,58405,2012
2012-05-01,4,mdo,Média dos Domingos,7914.100000000001,2012
2012-05-01,4,mdu,Média dos Dias Úteis,27365.36363636363,2012
2012-05-01,4,msa,Média dos Sábados,13889.5,2012
2012-05-01,4,total,Total,3477493,2012
2012-06-01,4,max,Máxima Diária,58685,2012
2012-06-01,4,mdo,Média dos Domingos,7518.950000000001,2012
2012-06-01,4,mdu,Média dos Dias Úteis,26884.600000000017,2012
2012-06-01,4,msa,Média dos Sábados,12718.64,2012
2012-06-01,4,total,Total,3191041,2012
2012-07-01,4,max,Máxima Diária,53703,2012
2012-07-01,4,mdo,Média dos Domingos,6933.240000000001,2012
2012-07-01,4,mdu,Média dos Dias Úteis,24997.127272727266,2012
2012-07-01,4,msa,Média dos Sábados,12587,2012
2012-07-01,4,total,Total,3174755,2012
2012-08-01,4,max,Máxima Diária,62370,2012
2012-08-01,4,mdo,Média dos Domingos,7294.5,2012
2012-08-01,4,mdu,Média dos Dias Úteis,28939.330434782587,2012
2012-08-01,4,msa,Média dos Sábados,13747.599999999999,2012
2012-08-01,4,total,Total,3748865,2012
2012-09-01,4,max,Máxima Diária,61402,2012
2012-09-01,4,mdo,Média dos Domingos,7586.96,2012
2012-09-01,4,mdu,Média dos Dias Úteis,29029.9789473684,2012
2012-09-01,4,msa,Média dos Sábados,13428.159999999998,2012
2012-09-01,4,total,Total,3328982,2012
2012-10-01,4,max,Máxima Diária,63192,2012
2012-10-01,4,mdo,Média dos Domingos,7590.950000000001,2012
2012-10-01,4,mdu,Média dos Dias Úteis,28943.827272727278,2012
2012-10-01,4,msa,Média dos Sábados,13518.25,2012
2012-10-01,4,total,Total,3647236,2012
2012-11-01,4,max,Máxima Diária,63286,2012
2012-11-01,4,mdo,Média dos Domingos,7958.25,2012
2012-11-01,4,mdu,Média dos Dias Úteis,27702.25,2012
2012-11-01,4,msa,Média dos Sábados,12920.75,2012
2012-11-01,4,total,Total,3272363,2012
2012-12-01,4,max,Máxima Diária,61044,2012
2012-12-01,4,mdo,Média dos Domingos,8049.12,2012
2012-12-01,4,mdu,Média dos Dias Úteis,25478.67999999999,2012
2012-12-01,4,msa,Média dos Sábados,13620.159999999998,2012
2012-12-01,4,total,Total,3116843,2012
2013-01-01,4,max,Máxima Diária,54993,2013
2013-01-01,4,mdo,Média dos Domingos,6796.649999999999,2013
2013-01-01,4,mdu,Média dos Dias Úteis,24560.42727272729,2013
2013-01-01,4,msa,Média dos Sábados,11327.950000000003,2013
2013-01-01,4,total,Total,3086888,2013
2013-02-01,4,max,Máxima Diária,62931,2013
2013-02-01,4,mdo,Média dos Domingos,7238.149999999999,2013
2013-02-01,4,mdu,Média dos Dias Úteis,29264.8888888889,2013
2013-02-01,4,msa,Média dos Sábados,13175.700000000003,2013
2013-02-01,4,total,Total,3128999,2013
2013-03-01,4,max,Máxima Diária,67380,2013
2013-03-01,4,mdo,Média dos Domingos,8428.920000000002,2013
2013-03-01,4,mdu,Média dos Dias Úteis,31297.30999999998,2013
2013-03-01,4,msa,Média dos Sábados,14838.799999999997,2013
2013-03-01,4,total,Total,3762734,2013
2013-04-01,4,max,Máxima Diária,65290,2013
