year,measure,date,variable,value,line_number,type,line_name_pt,line_name
2016,entrance,2016-01-01,Total,21622,1,metro,Azul,Blue
2016,entrance,2016-01-01,Total,10550,2,metro,Verde,Green
2016,entrance,2016-01-01,Total,25583,3,metro,Vermelha,Red
2016,entrance,2016-01-01,Total,5588,5,metro,Lilás,Lilac
2016,entrance,2016-01-01,Total,139,15,metro,Prata,Silver
2016,entrance,2016-01-01,Total,63482,99,metro,Sistema METRO,METRO System
2016,entrance,2016-01-01,Média dos Dias Úteis,895,1,metro,Azul,Blue
2016,entrance,2016-01-01,Média dos Dias Úteis,457,2,metro,Verde,Green
2016,entrance,2016-01-01,Média dos Dias Úteis,1052,3,metro,Vermelha,Red
2016,entrance,2016-01-01,Média dos Dias Úteis,230,5,metro,Lilás,Lilac
2016,entrance,2016-01-01,Média dos Dias Úteis,6,15,metro,Prata,Silver
2016,entrance,2016-01-01,Média dos Dias Úteis,2640,99,metro,Sistema METRO,METRO System
2016,entrance,2016-01-01,Média dos Sábados,497,1,metro,Azul,Blue
2016,entrance,2016-01-01,Média dos Sábados,190,2,metro,Verde,Green
2016,entrance,2016-01-01,Média dos Sábados,584,3,metro,Vermelha,Red
2016,entrance,2016-01-01,Média dos Sábados,134,5,metro,Lilás,Lilac
2016,entrance,2016-01-01,Média dos Sábados,2,15,metro,Prata,Silver
2016,entrance,2016-01-01,Média dos Sábados,1408,99,metro,Sistema METRO,METRO System
2016,entrance,2016-01-01,Média dos Domingos,316,1,metro,Azul,Blue
2016,entrance,2016-01-01,Média dos Domingos,135,2,metro,Verde,Green
2016,entrance,2016-01-01,Média dos Domingos,394,3,metro,Vermelha,Red
2016,entrance,2016-01-01,Média dos Domingos,79,5,metro,Lilás,Lilac
2016,entrance,2016-01-01,Média dos Domingos,1,15,metro,Prata,Silver
2016,entrance,2016-01-01,Média dos Domingos,925,99,metro,Sistema METRO,METRO System
2016,entrance,2016-01-01,Máxima Diária,972,1,metro,Azul,Blue
2016,entrance,2016-01-01,Máxima Diária,496,2,metro,Verde,Green
2016,entrance,2016-01-01,Máxima Diária,1131,3,metro,Vermelha,Red
2016,entrance,2016-01-01,Máxima Diária,248,5,metro,Lilás,Lilac
2016,entrance,2016-01-01,Máxima Diária,7,15,metro,Prata,Silver
2016,entrance,2016-01-01,Máxima Diária,2840,99,metro,Sistema METRO,METRO System
2016,entrance,2016-02-01,Total,23330,1,metro,Azul,Blue
2016,entrance,2016-02-01,Total,11503,2,metro,Verde,Green
2016,entrance,2016-02-01,Total,27503,3,metro,Vermelha,Red
2016,entrance,2016-02-01,Total,6076,5,metro,Lilás,Lilac
2016,entrance,2016-02-01,Total,164,15,metro,Prata,Silver
2016,entrance,2016-02-01,Total,68577,99,metro,Sistema METRO,METRO System
2016,entrance,2016-02-01,Média dos Dias Úteis,1012,1,metro,Azul,Blue
2016,entrance,2016-02-01,Média dos Dias Úteis,514,2,metro,Verde,Green
2016,entrance,2016-02-01,Média dos Dias Úteis,1180,3,metro,Vermelha,Red
2016,entrance,2016-02-01,Média dos Dias Úteis,260,5,metro,Lilás,Lilac
2016,entrance,2016-02-01,Média dos Dias Úteis,8,15,metro,Prata,Silver
2016,entrance,2016-02-01,Média dos Dias Úteis,2974,99,metro,Sistema METRO,METRO System
2016,entrance,2016-02-01,Média dos Sábados,569,1,metro,Azul,Blue
2016,entrance,2016-02-01,Média dos Sábados,234,2,metro,Verde,Green
2016,entrance,2016-02-01,Média dos Sábados,674,3,metro,Vermelha,Red
2016,entrance,2016-02-01,Média dos Sábados,154,5,metro,Lilás,Lilac
2016,entrance,2016-02-01,Média dos Sábados,3,15,metro,Prata,Silver
2016,entrance,2016-02-01,Média dos Sábados,1634,99,metro,Sistema METRO,METRO System
2016,entrance,2016-02-01,Média dos Domingos,323,1,metro,Azul,Blue
2016,entrance,2016-02-01,Média dos Domingos,149,2,metro,Verde,Green
2016,entrance,2016-02-01,Média dos Domingos,427,3,metro,Vermelha,Red
2016,entrance,2016-02-01,Média dos Domingos,84,5,metro,Lilás,Lilac
2016,entrance,2016-02-01,Média dos Domingos,2,15,metro,Prata,Silver
2016,entrance,2016-02-01,Média dos Domingos,986,99,metro,Sistema METRO,METRO System
2016,entrance,2016-02-01,Máxima Diária,1066,1,metro,Azul,Blue
2016,entrance,2016-02-01,Máxima Diária,536,2,metro,Verde,Green
2016,entrance,2016-02-01,Máxima Diária,1272,3,metro,Vermelha,Red
2016,entrance,2016-02-01,Máxima Diária,276,5,metro,Lilás,Lilac
2016,entrance,2016-02-01,Máxima Diária,8,15,metro,Prata,Silver
2016,entrance,2016-02-01,Máxima Diária,3104,99,metro,Sistema METRO,METRO System
2016,entrance,2016-03-01,Total,27501,1,metro,Azul,Blue
2016,entrance,2016-03-01,Total,13677,2,metro,Verde,Green
2016,entrance,2016-03-01,Total,31597,3,metro,Vermelha,Red
2016,entrance,2016-03-01,Total,7027,5,metro,Lilás,Lilac
2016,entrance,2016-03-01,Total,201,15,metro,Prata,Silver
2016,entrance,2016-03-01,Total,80003,99,metro,Sistema METRO,METRO System
2016,entrance,2016-03-01,Média dos Dias Úteis,1073,1,metro,Azul,Blue
2016,entrance,2016-03-01,Média dos Dias Úteis,543,2,metro,Verde,Green
2016,entrance,2016-03-01,Média dos Dias Úteis,1221,3,metro,Vermelha,Red
2016,entrance,2016-03-01,Média dos Dias Úteis,273,5,metro,Lilás,Lilac
2016,entrance,2016-03-01,Média dos Dias Úteis,8,15,metro,Prata,Silver
2016,entrance,2016-03-01,Média dos Dias Úteis,3119,99,metro,Sistema METRO,METRO System
2016,entrance,2016-03-01,Média dos Sábados,563,1,metro,Azul,Blue
2016,entrance,2016-03-01,Média dos Sábados,226,2,metro,Verde,Green
2016,entrance,2016-03-01,Média dos Sábados,677,3,metro,Vermelha,Red
2016,entrance,2016-03-01,Média dos Sábados,156,5,metro,Lilás,Lilac
2016,entrance,2016-03-01,Média dos Sábados,3,15,metro,Prata,Silver
2016,entrance,2016-03-01,Média dos Sábados,1625,99,metro,Sistema METRO,METRO System
2016,entrance,2016-03-01,Média dos Domingos,314,1,metro,Azul,Blue
2016,entrance,2016-03-01,Média dos Domingos,131,2,metro,Verde,Green
2016,entrance,2016-03-01,Média dos Domingos,398,3,metro,Vermelha,Red
2016,entrance,2016-03-01,Média dos Domingos,74,5,metro,Lilás,Lilac
2016,entrance,2016-03-01,Média dos Domingos,2,15,metro,Prata,Silver
