date,line_number,metric_abb,metric,value,year
2020-01-01,1,total,Total,31546,2020
2020-01-01,1,mdu,Média dos Dias Úteis,1214,2020
2020-01-01,1,msa,Média dos Sábados,705,2020
2020-01-01,1,mdo,Média dos Domingos,428,2020
2020-01-01,1,max,Máxima Diária,1344,2020
2020-01-01,2,total,Total,17665,2020
2020-01-01,2,mdu,Média dos Dias Úteis,702,2020
2020-01-01,2,msa,Média dos Sábados,308,2020
2020-01-01,2,mdo,Média dos Domingos,208,2020
2020-01-01,2,max,Máxima Diária,775,2020
2020-01-01,3,total,Total,31597,2020
2020-01-01,3,mdu,Média dos Dias Úteis,1213,2020
2020-01-01,3,msa,Média dos Sábados,721,2020
2020-01-01,3,mdo,Média dos Domingos,428,2020
2020-01-01,3,max,Máxima Diária,1319,2020
2020-01-01,15,total,Total,2419,2020
2020-01-01,15,mdu,Média dos Dias Úteis,98,2020
2020-01-01,15,msa,Média dos Sábados,35,2020
2020-01-01,15,mdo,Média dos Domingos,21,2020
2020-01-01,15,max,Máxima Diária,111,2020
2020-01-01,NA,total,Total,83227,2020
2020-01-01,NA,mdu,Média dos Dias Úteis,3228,2020
2020-01-01,NA,msa,Média dos Sábados,1769,2020
2020-01-01,NA,mdo,Média dos Domingos,1085,2020
2020-01-01,NA,max,Máxima Diária,3547,2020
2020-02-01,1,total,Total,32483,2020
2020-02-01,1,mdu,Média dos Dias Úteis,1410,2020
2020-02-01,1,msa,Média dos Sábados,856,2020
2020-02-01,1,mdo,Média dos Domingos,494,2020
2020-02-01,1,max,Máxima Diária,1483,2020
2020-02-01,2,total,Total,18033,2020
2020-02-01,2,mdu,Média dos Dias Úteis,826,2020
2020-02-01,2,msa,Média dos Sábados,390,2020
2020-02-01,2,mdo,Média dos Domingos,257,2020
2020-02-01,2,max,Máxima Diária,870,2020
2020-02-01,3,total,Total,31992,2020
2020-02-01,3,mdu,Média dos Dias Úteis,1382,2020
2020-02-01,3,msa,Média dos Sábados,860,2020
2020-02-01,3,mdo,Média dos Domingos,528,2020
2020-02-01,3,max,Máxima Diária,1451,2020
2020-02-01,15,total,Total,2497,2020
2020-02-01,15,mdu,Média dos Dias Úteis,116,2020
2020-02-01,15,msa,Média dos Sábados,60,2020
2020-02-01,15,mdo,Média dos Domingos,27,2020
2020-02-01,15,max,Máxima Diária,122,2020
2020-02-01,NA,total,Total,85004,2020
2020-02-01,NA,mdu,Média dos Dias Úteis,3734,2020
2020-02-01,NA,msa,Média dos Sábados,2154,2020
2020-02-01,NA,mdo,Média dos Domingos,1306,2020
2020-02-01,NA,max,Máxima Diária,3921,2020
2020-03-01,1,total,Total,23635,2020
2020-03-01,1,mdu,Média dos Dias Úteis,918,2020
2020-03-01,1,msa,Média dos Sábados,484,2020
2020-03-01,1,mdo,Média dos Domingos,302,2020
2020-03-01,1,max,Máxima Diária,1493,2020
2020-03-01,2,total,Total,12945,2020
2020-03-01,2,mdu,Média dos Dias Úteis,515,2020
2020-03-01,2,msa,Média dos Sábados,217,2020
2020-03-01,2,mdo,Média dos Domingos,148,2020
2020-03-01,2,max,Máxima Diária,839,2020
2020-03-01,3,total,Total,24332,2020
2020-03-01,3,mdu,Média dos Dias Úteis,939,2020
2020-03-01,3,msa,Média dos Sábados,511,2020
2020-03-01,3,mdo,Média dos Domingos,325,2020
2020-03-01,3,max,Máxima Diária,1478,2020
2020-03-01,15,total,Total,NA,2020
2020-03-01,15,mdu,Média dos Dias Úteis,NA,2020
2020-03-01,15,msa,Média dos Sábados,NA,2020
2020-03-01,15,mdo,Média dos Domingos,NA,2020
2020-03-01,15,max,Máxima Diária,NA,2020
2020-03-01,NA,total,Total,60912,2020
2020-03-01,NA,mdu,Média dos Dias Úteis,2372,2020
2020-03-01,NA,msa,Média dos Sábados,1211,2020
2020-03-01,NA,mdo,Média dos Domingos,775,2020
2020-03-01,NA,max,Máxima Diária,3809,2020
2020-04-01,1,total,Total,6868,2020
2020-04-01,1,mdu,Média dos Dias Úteis,277,2020
2020-04-01,1,msa,Média dos Sábados,164,2020
2020-04-01,1,mdo,Média dos Domingos,102,2020
2020-04-01,1,max,Máxima Diária,317,2020
2020-04-01,2,total,Total,3726,2020
2020-04-01,2,mdu,Média dos Dias Úteis,155,2020
2020-04-01,2,msa,Média dos Sábados,78,2020
2020-04-01,2,mdo,Média dos Domingos,49,2020
2020-04-01,2,max,Máxima Diária,168,2020
2020-04-01,3,total,Total,7984,2020
2020-04-01,3,mdu,Média dos Dias Úteis,323,2020
2020-04-01,3,msa,Média dos Sábados,189,2020
2020-04-01,3,mdo,Média dos Domingos,117,2020
2020-04-01,3,max,Máxima Diária,362,2020
2020-04-01,15,total,Total,NA,2020
2020-04-01,15,mdu,Média dos Dias Úteis,NA,2020
2020-04-01,15,msa,Média dos Sábados,NA,2020
2020-04-01,15,mdo,Média dos Domingos,NA,2020
2020-04-01,15,max,Máxima Diária,NA,2020
2020-04-01,NA,total,Total,18577,2020
2020-04-01,NA,mdu,Média dos Dias Úteis,755,2020
2020-04-01,NA,msa,Média dos Sábados,431,2020
2020-04-01,NA,mdo,Média dos Domingos,268,2020
2020-04-01,NA,max,Máxima Diária,848,2020
2020-05-01,1,total,Total,7700,2020
2020-05-01,1,mdu,Média dos Dias Úteis,318,2020
2020-05-01,1,msa,Média dos Sábados,188,2020
2020-05-01,1,mdo,Média dos Domingos,111,2020
2020-05-01,1,max,Máxima Diária,333,2020
2020-05-01,2,total,Total,4000,2020
2020-05-01,2,mdu,Média dos Dias Úteis,171,2020
2020-05-01,2,msa,Média dos Sábados,86,2020
2020-05-01,2,mdo,Média dos Domingos,53,2020
2020-05-01,2,max,Máxima Diária,178,2020
2020-05-01,3,total,Total,8889,2020
2020-05-01,3,mdu,Média dos Dias Úteis,369,2020
2020-05-01,3,msa,Média dos Sábados,215,2020
2020-05-01,3,mdo,Média dos Domingos,127,2020
2020-05-01,3,max,Máxima Diária,385,2020
2020-05-01,15,total,Total,NA,2020
2020-05-01,15,mdu,Média dos Dias Úteis,NA,2020
2020-05-01,15,msa,Média dos Sábados,NA,2020
2020-05-01,15,mdo,Média dos Domingos,NA,2020
2020-05-01,15,max,Máxima Diária,NA,2020
2020-05-01,NA,total,Total,20589,2020
2020-05-01,NA,mdu,Média dos Dias Úteis,858,2020
2020-05-01,NA,msa,Média dos Sábados,488,2020
2020-05-01,NA,mdo,Média dos Domingos,291,2020
2020-05-01,NA,max,Máxima Diária,895,2020
2020-06-01,1,total,Total,10074,2020
2020-06-01,1,mdu,Média dos Dias Úteis,391,2020
2020-06-01,1,msa,Média dos Sábados,239,2020
