date,line_number,metric_abb,metric,value,year
2020-01-01,1,total,Total,31546,2020
2020-01-01,1,mdu,Average on Business Days,1214,2020
2020-01-01,1,msa,Average on Saturdays,705,2020
2020-01-01,1,mdo,Average on Sundays,428,2020
2020-01-01,1,max,Daily Peak,1344,2020
2020-01-01,2,total,Total,17665,2020
2020-01-01,2,mdu,Average on Business Days,702,2020
2020-01-01,2,msa,Average on Saturdays,308,2020
2020-01-01,2,mdo,Average on Sundays,208,2020
2020-01-01,2,max,Daily Peak,775,2020
2020-01-01,3,total,Total,31597,2020
2020-01-01,3,mdu,Average on Business Days,1213,2020
2020-01-01,3,msa,Average on Saturdays,721,2020
2020-01-01,3,mdo,Average on Sundays,428,2020
2020-01-01,3,max,Daily Peak,1319,2020
2020-01-01,15,total,Total,2419,2020
2020-01-01,15,mdu,Average on Business Days,98,2020
2020-01-01,15,msa,Average on Saturdays,35,2020
2020-01-01,15,mdo,Average on Sundays,21,2020
2020-01-01,15,max,Daily Peak,111,2020
2020-01-01,99,total,Total,83227,2020
2020-01-01,99,mdu,Average on Business Days,3228,2020
2020-01-01,99,msa,Average on Saturdays,1769,2020
2020-01-01,99,mdo,Average on Sundays,1085,2020
2020-01-01,99,max,Daily Peak,3547,2020
2020-02-01,1,total,Total,32483,2020
2020-02-01,1,mdu,Average on Business Days,1410,2020
2020-02-01,1,msa,Average on Saturdays,856,2020
2020-02-01,1,mdo,Average on Sundays,494,2020
2020-02-01,1,max,Daily Peak,1483,2020
2020-02-01,2,total,Total,18033,2020
2020-02-01,2,mdu,Average on Business Days,826,2020
2020-02-01,2,msa,Average on Saturdays,390,2020
2020-02-01,2,mdo,Average on Sundays,257,2020
2020-02-01,2,max,Daily Peak,870,2020
2020-02-01,3,total,Total,31992,2020
2020-02-01,3,mdu,Average on Business Days,1382,2020
2020-02-01,3,msa,Average on Saturdays,860,2020
2020-02-01,3,mdo,Average on Sundays,528,2020
2020-02-01,3,max,Daily Peak,1451,2020
2020-02-01,15,total,Total,2497,2020
2020-02-01,15,mdu,Average on Business Days,116,2020
2020-02-01,15,msa,Average on Saturdays,60,2020
2020-02-01,15,mdo,Average on Sundays,27,2020
2020-02-01,15,max,Daily Peak,122,2020
2020-02-01,99,total,Total,85004,2020
2020-02-01,99,mdu,Average on Business Days,3734,2020
2020-02-01,99,msa,Average on Saturdays,2154,2020
2020-02-01,99,mdo,Average on Sundays,1306,2020
2020-02-01,99,max,Daily Peak,3921,2020
2020-03-01,1,total,Total,23635,2020
2020-03-01,1,mdu,Average on Business Days,918,2020
2020-03-01,1,msa,Average on Saturdays,484,2020
2020-03-01,1,mdo,Average on Sundays,302,2020
2020-03-01,1,max,Daily Peak,1493,2020
2020-03-01,2,total,Total,12945,2020
2020-03-01,2,mdu,Average on Business Days,515,2020
2020-03-01,2,msa,Average on Saturdays,217,2020
2020-03-01,2,mdo,Average on Sundays,148,2020
2020-03-01,2,max,Daily Peak,839,2020
2020-03-01,3,total,Total,24332,2020
2020-03-01,3,mdu,Average on Business Days,939,2020
2020-03-01,3,msa,Average on Saturdays,511,2020
2020-03-01,3,mdo,Average on Sundays,325,2020
2020-03-01,3,max,Daily Peak,1478,2020
2020-03-01,15,total,Total,NA,2020
2020-03-01,15,mdu,Average on Business Days,NA,2020
2020-03-01,15,msa,Average on Saturdays,NA,2020
2020-03-01,15,mdo,Average on Sundays,NA,2020
2020-03-01,15,max,Daily Peak,NA,2020
2020-03-01,99,total,Total,60912,2020
2020-03-01,99,mdu,Average on Business Days,2372,2020
2020-03-01,99,msa,Average on Saturdays,1211,2020
2020-03-01,99,mdo,Average on Sundays,775,2020
2020-03-01,99,max,Daily Peak,3809,2020
2020-04-01,1,total,Total,6868,2020
2020-04-01,1,mdu,Average on Business Days,277,2020
2020-04-01,1,msa,Average on Saturdays,164,2020
2020-04-01,1,mdo,Average on Sundays,102,2020
2020-04-01,1,max,Daily Peak,317,2020
2020-04-01,2,total,Total,3726,2020
2020-04-01,2,mdu,Average on Business Days,155,2020
2020-04-01,2,msa,Average on Saturdays,78,2020
2020-04-01,2,mdo,Average on Sundays,49,2020
2020-04-01,2,max,Daily Peak,168,2020
2020-04-01,3,total,Total,7984,2020
2020-04-01,3,mdu,Average on Business Days,323,2020
2020-04-01,3,msa,Average on Saturdays,189,2020
2020-04-01,3,mdo,Average on Sundays,117,2020
2020-04-01,3,max,Daily Peak,362,2020
2020-04-01,15,total,Total,NA,2020
2020-04-01,15,mdu,Average on Business Days,NA,2020
