date,year,month,line_name_full,name_station,metric_abb,value
2017-10-01,2017,Outubro,Linha 1 - Azul,Jabaquara,mdu,92
2017-10-01,2017,Outubro,Linha 1 - Azul,Conceição,mdu,41
2017-10-01,2017,Outubro,Linha 1 - Azul,São Judas,mdu,21
2017-10-01,2017,Outubro,Linha 1 - Azul,Saúde,mdu,37
2017-10-01,2017,Outubro,Linha 1 - Azul,Praça da Árvore,mdu,23
2017-10-01,2017,Outubro,Linha 1 - Azul,Santa Cruz,mdu,62
2017-10-01,2017,Outubro,Linha 1 - Azul,Vila Mariana,mdu,33
2017-10-01,2017,Outubro,Linha 1 - Azul,Ana Rosa,mdu,90
2017-10-01,2017,Outubro,Linha 1 - Azul,Paraíso,mdu,116
2017-10-01,2017,Outubro,Linha 1 - Azul,Vergueiro,mdu,34
2017-10-01,2017,Outubro,Linha 1 - Azul,São Joaquim,mdu,53
2017-10-01,2017,Outubro,Linha 1 - Azul,Liberdade,mdu,30
2017-10-01,2017,Outubro,Linha 1 - Azul,Sé,mdu,255
2017-10-01,2017,Outubro,Linha 1 - Azul,São Bento,mdu,76
2017-10-01,2017,Outubro,Linha 1 - Azul,Luz,mdu,169
2017-10-01,2017,Outubro,Linha 1 - Azul,Tiradentes,mdu,18
2017-10-01,2017,Outubro,Linha 1 - Azul,Armênia,mdu,31
2017-10-01,2017,Outubro,Linha 1 - Azul,Portuguesa-Tietê,mdu,65
2017-10-01,2017,Outubro,Linha 1 - Azul,Carandiru,mdu,16
2017-10-01,2017,Outubro,Linha 1 - Azul,Santana,mdu,67
2017-10-01,2017,Outubro,Linha 1 - Azul,Jardim São Paulo-Ayrton Senna,mdu,15
2017-10-01,2017,Outubro,Linha 1 - Azul,Parada Inglesa,mdu,17
2017-10-01,2017,Outubro,Linha 1 - Azul,Tucuruvi,mdu,71
2017-10-01,2017,Outubro,Linha 2 - Verde,Vila Prudente,mdu,54
2017-10-01,2017,Outubro,Linha 2 - Verde,Tamanduateí,mdu,67
2017-10-01,2017,Outubro,Linha 2 - Verde,Sacomã,mdu,41
2017-10-01,2017,Outubro,Linha 2 - Verde,Alto do Ipiranga,mdu,21
2017-10-01,2017,Outubro,Linha 2 - Verde,Santos-Imigrantes,mdu,16
2017-10-01,2017,Outubro,Linha 2 - Verde,Chácara Klabin,mdu,7
2017-10-01,2017,Outubro,Linha 2 - Verde,Ana Rosa,mdu,83
2017-10-01,2017,Outubro,Linha 2 - Verde,Paraíso,mdu,76
2017-10-01,2017,Outubro,Linha 2 - Verde,Brigadeiro,mdu,60
2017-10-01,2017,Outubro,Linha 2 - Verde,Trianon-Masp,mdu,55
2017-10-01,2017,Outubro,Linha 2 - Verde,Consolação,mdu,144
2017-10-01,2017,Outubro,Linha 2 - Verde,Clínicas,mdu,30
2017-10-01,2017,Outubro,Linha 2 - Verde,Santuário N.S. de Fátima-Sumaré,mdu,15
2017-10-01,2017,Outubro,Linha 2 - Verde,Vila Madalena,mdu,27
2017-10-01,2017,Outubro,Linha 3 - Vermelha,Corinthians-Itaquera,mdu,102
2017-10-01,2017,Outubro,Linha 3 - Vermelha,Artur Alvim,mdu,70
2017-10-01,2017,Outubro,Linha 3 - Vermelha,Patriarca,mdu,26
2017-10-01,2017,Outubro,Linha 3 - Vermelha,Guilhermina-Esperança,mdu,27
