date,line_number,station_name,avg_passenger,year
2012-01-01,4,Butantã,37066.818181818184,2012
2012-01-01,4,Faria Lima,31989.090909090908,2012
2012-01-01,4,Luz,100889.31818181818,2012
2012-01-01,4,Paulista,127844.59090909091,2012
2012-01-01,4,Pinheiros,97537.45454545454,2012
2012-01-01,4,República,99199.63636363637,2012
2012-02-01,4,Butantã,47845.47368421053,2012
2012-02-01,4,Faria Lima,38544.78947368421,2012
2012-02-01,4,Luz,94375.94736842105,2012
2012-02-01,4,Paulista,140011.26315789475,2012
2012-02-01,4,Pinheiros,118809.52631578948,2012
2012-02-01,4,República,119882,2012
2012-03-01,4,Butantã,55593.72727272727,2012
2012-03-01,4,Faria Lima,39774.77272727273,2012
2012-03-01,4,Luz,104353.77272727272,2012
2012-03-01,4,Paulista,154051.36363636365,2012
2012-03-01,4,Pinheiros,129441.36363636363,2012
2012-03-01,4,República,125045.40909090909,2012
2012-04-01,4,Butantã,53749.45,2012
2012-04-01,4,Faria Lima,39738.05,2012
2012-04-01,4,Luz,115076.8,2012
2012-04-01,4,Paulista,160500.05,2012
2012-04-01,4,Pinheiros,137897.15,2012
2012-04-01,4,República,141568.2,2012
2012-05-01,4,Butantã,54412.045454545456,2012
2012-05-01,4,Faria Lima,40365.681818181816,2012
2012-05-01,4,Luz,113704.95454545454,2012
2012-05-01,4,Paulista,145229.72727272726,2012
2012-05-01,4,Pinheiros,135767.22727272726,2012
2012-05-01,4,República,131377.22727272726,2012
2012-06-01,4,Butantã,52834.5,2012
2012-06-01,4,Faria Lima,40343.4,2012
2012-06-01,4,Luz,124407.4,2012
2012-06-01,4,Paulista,153944.35,2012
2012-06-01,4,Pinheiros,133402.45,2012
2012-06-01,4,República,138238.9,2012
2012-07-01,4,Butantã,48509.5,2012
2012-07-01,4,Faria Lima,37461.681818181816,2012
2012-07-01,4,Luz,117211.86363636363,2012
2012-07-01,4,Paulista,148942.86363636365,2012
2012-07-01,4,Pinheiros,121813.86363636363,2012
2012-07-01,4,República,117661.13636363637,2012
2012-08-01,4,Butantã,59476.913043478264,2012
2012-08-01,4,Faria Lima,40886.13043478261,2012
2012-08-01,4,Luz,123228.13043478261,2012
2012-08-01,4,Paulista,157642.73913043478,2012
2012-08-01,4,Pinheiros,131864.5652173913,2012
2012-08-01,4,República,130773.60869565218,2012
2012-09-01,4,Butantã,58346.57894736842,2012
2012-09-01,4,Faria Lima,41039.89473684211,2012
2012-09-01,4,Luz,143386.8947368421,2012
2012-09-01,4,Paulista,162189.26315789475,2012
2012-09-01,4,Pinheiros,148354.15789473685,2012
2012-09-01,4,República,139396.2105263158,2012
2012-10-01,4,Butantã,58505.63636363636,2012
2012-10-01,4,Faria Lima,41427.818181818184,2012
2012-10-01,4,Luz,124980.45454545454,2012
2012-10-01,4,Paulista,161096.36363636365,2012
2012-10-01,4,Pinheiros,137540.04545454544,2012
2012-10-01,4,República,140445,2012
2012-11-01,4,Butantã,55374,2012
2012-11-01,4,Faria Lima,40359.95,2012
2012-11-01,4,Luz,159256.95,2012
2012-11-01,4,Paulista,219696.25,2012
2012-11-01,4,Pinheiros,162073.9,2012
2012-11-01,4,República,172733.65,2012
2012-12-01,4,Butantã,49898.15,2012
2012-12-01,4,Faria Lima,38004.1,2012
2012-12-01,4,Luz,112276,2012
2012-12-01,4,Paulista,130215.2,2012
2012-12-01,4,Pinheiros,122478.1,2012
2012-12-01,4,República,118613.7,2012
2013-01-01,4,Butantã,47093.318181818184,2013
2013-01-01,4,Faria Lima,36831.09090909091,2013
2013-01-01,4,Luz,108280.90909090909,2013
2013-01-01,4,Paulista,125361.22727272728,2013
2013-01-01,4,Pinheiros,113477.59090909091,2013
2013-01-01,4,República,115386.5,2013
2013-02-01,4,Butantã,56931.333333333336,2013
2013-02-01,4,Faria Lima,43123.944444444445,2013
2013-02-01,4,Luz,129884.5,2013
2013-02-01,4,Paulista,145935.22222222222,2013
2013-02-01,4,Pinheiros,133326.72222222222,2013
2013-02-01,4,República,234382.5,2013
2013-03-01,4,Butantã,63241.75,2013
2013-03-01,4,Faria Lima,45011.45,2013
2013-03-01,4,Luz,128936.4,2013
2013-03-01,4,Paulista,154720.9,2013
2013-03-01,4,Pinheiros,139921.7,2013
2013-03-01,4,República,137780.3,2013
2013-04-01,4,Butantã,63424.09090909091,2013
2013-04-01,4,Faria Lima,45053.63636363636,2013
2013-04-01,4,Luz,129662.13636363637,2013
2013-04-01,4,Paulista,156542.36363636365,2013
2013-04-01,4,Pinheiros,140036.4090909091,2013
2013-04-01,4,República,137589.63636363635,2013
2013-05-01,4,Butantã,62363.19047619047,2013
2013-05-01,4,Faria Lima,45248.95238095238,2013
2013-05-01,4,Luz,129151.42857142857,2013
2013-05-01,4,Paulista,155452.7142857143,2013
2013-05-01,4,Pinheiros,139247.2857142857,2013
2013-05-01,4,República,138812.09523809524,2013
2013-06-01,4,Butantã,63921.7,2013
2013-06-01,4,Faria Lima,44706.05,2013
2013-06-01,4,Luz,128148.1,2013
2013-06-01,4,Paulista,157559.5,2013
2013-06-01,4,Pinheiros,133950.2,2013
2013-06-01,4,República,138804.45,2013
2013-07-01,4,Butantã,53898.95652173913,2013
2013-07-01,4,Faria Lima,40085.17391304348,2013
2013-07-01,4,Luz,117563.13043478261,2013
2013-07-01,4,Paulista,138693.34782608695,2013
2013-07-01,4,Pinheiros,123832.73913043478,2013
2013-07-01,4,República,125530.47826086957,2013
2013-08-01,4,Butantã,67131.22727272728,2013
2013-08-01,4,Faria Lima,44622.818181818184,2013
2013-08-01,4,Luz,132074.18181818182,2013
2013-08-01,4,Paulista,157906.9090909091,2013
2013-08-01,4,Pinheiros,140118.5909090909,2013
2013-08-01,4,República,140651.22727272726,2013
2013-09-01,4,Butantã,66583.28571428571,2013
2013-09-01,4,Faria Lima,44413.80952380953,2013
2013-09-01,4,Luz,131549.04761904763,2013
2013-09-01,4,Paulista,157182.95238095237,2013
2013-09-01,4,Pinheiros,139268.7619047619,2013
2013-09-01,4,República,141741.09523809524,2013
2013-10-01,4,Butantã,66532.82608695653,2013
2013-10-01,4,Faria Lima,44810.82608695652,2013
2013-10-01,4,Luz,133051.86956521738,2013
2013-10-01,4,Paulista,157687.26086956522,2013
2013-10-01,4,Pinheiros,140982.8260869565,2013
2013-10-01,4,República,142861.13043478262,2013
2013-11-01,4,Butantã,66690.3,2013
2013-11-01,4,Faria Lima,44675.3,2013
2013-11-01,4,Luz,132178.75,2013
2013-11-01,4,Paulista,156120.35,2013
2013-11-01,4,Pinheiros,139791.45,2013
2013-11-01,4,República,141528.25,2013
2013-12-01,4,Butantã,57558.428571428565,2013
2013-12-01,4,Faria Lima,39351.857142857145,2013
2013-12-01,4,Luz,119876.04761904762,2013
2013-12-01,4,Paulista,134801.3333333333,2013
2013-12-01,4,Pinheiros,123667.09523809524,2013
2013-12-01,4,República,125596.85714285713,2013
2014-01-01,4,Butantã,55989,2014
2014-01-01,4,Faria Lima,40270.36363636364,2014
2014-01-01,4,Luz,113436.86363636363,2014
2014-01-01,4,Paulista,136618.04545454544,2014
2014-01-01,4,Pinheiros,124650.68181818182,2014
