date,year,line_number,station_code,station_name,passengers
2020-01-01,2020,1,anr,Ana Rosa,3.4
2020-01-01,2020,1,arv,Praça da Árvore,2.7
2020-01-01,2020,1,bto,São Bento,2.6
2020-01-01,2020,1,cdu,Carandiru,2.1
2020-01-01,2020,1,con,Conceição,6
2020-01-01,2020,1,jab,Jabaquara,59.3
2020-01-01,2020,1,jpa,Jardim São Paulo-Ayrton Senna,1.7
2020-01-01,2020,1,jqm,São Joaquim,4.1
2020-01-01,2020,1,jud,São Judas,3.7
2020-01-01,2020,1,lib,Japão-Liberdade,3.4
2020-01-01,2020,1,luz,Luz,22.2
2020-01-01,2020,1,pig,Parada Inglesa,2.3
2020-01-01,2020,1,ppq,Armênia,6.3
2020-01-01,2020,1,pse,Sé,3.2
2020-01-01,2020,1,pso,Paraíso,3.8
2020-01-01,2020,1,san,Santana,11.3
2020-01-01,2020,1,sau,Saúde,5.4
2020-01-01,2020,1,scz,Santa Cruz,21.4
2020-01-01,2020,1,trd,Tiradentes,2.2
2020-01-01,2020,1,tte,Portuguesa-Tietê,38.4
2020-01-01,2020,1,tuc,Tucuruvi,13.3
2020-01-01,2020,1,vgo,Vergueiro,4.8
2020-01-01,2020,1,vmn,Vila Mariana,2.7
2020-01-01,2020,2,aip,Alto do Ipiranga,2.6
2020-01-01,2020,2,anr,Ana Rosa,1.4
2020-01-01,2020,2,bgd,Brigadeiro,10
2020-01-01,2020,2,ckb,Chácara Klabin,11.9
2020-01-01,2020,2,cli,Clínicas,3.2
2020-01-01,2020,2,cns,Consolação,20.5
2020-01-01,2020,2,img,Santos-Imigrantes,2
2020-01-01,2020,2,pso,Paraíso,1.8
2020-01-01,2020,2,sac,Sacomã,7.7
2020-01-01,2020,2,sum,Sumaré,1.5
2020-01-01,2020,2,tri,Trianon-Masp,12
2020-01-01,2020,2,tti,Tamanduateí,11.9
2020-01-01,2020,2,vmd,Vila Madalena,3.7
2020-01-01,2020,2,vpt,Vila Prudente,3.4
2020-01-01,2020,3,art,Artur Alvim,13.1
2020-01-01,2020,3,bas,Brás,21
2020-01-01,2020,3,bel,Belém,7.9
2020-01-01,2020,3,bfu,Palmeiras-Barra Funda,50.4
2020-01-01,2020,3,bre,Bresser-Moóca,5.9
2020-01-01,2020,3,car,Carrão,8.2
2020-01-01,2020,3,cec,Santa Cecília,6.1
2020-01-01,2020,3,deo,Marechal Deodoro,5.6
2020-01-01,2020,3,gbu,Anhangabaú,9
2020-01-01,2020,3,itq,Corinthians-Itaquera,23.4
2020-01-01,2020,3,pca,Patriarca,4.5
2020-01-01,2020,3,pds,Pedro II,6.3
2020-01-01,2020,3,pen,Penha,6.3
2020-01-01,2020,3,pse,Sé,4.8
2020-01-01,2020,3,rep,República,28.8
2020-01-01,2020,3,tat,Tatuapé,20.9
2020-01-01,2020,3,vpa,Guilhermina-Esperança,4.5
2020-01-01,2020,3,vtd,Vila Matilde,5.5
2020-01-01,2020,15,cad,Camilo Haddad,0.6
2020-01-01,2020,15,fjt,Fazenda da Juta,0.3
2020-01-01,2020,15,jpl,Jardim Planalto,1.8
2020-01-01,2020,15,mat,São Mateus,1.1
2020-01-01,2020,15,ort,Oratório,0.8
2020-01-01,2020,15,sap,Sapopemba,0.6
2020-01-01,2020,15,slu,São Lucas,0.8
2020-01-01,2020,15,vpm,Vila Prudente,1.5
2020-01-01,2020,15,vtl,Vila Tolstói,0.8
2020-01-01,2020,15,vun,Vila União,1.1
2020-01-02,2020,1,anr,Ana Rosa,11.6
2020-01-02,2020,1,arv,Praça da Árvore,11
2020-01-02,2020,1,bto,São Bento,47.5
2020-01-02,2020,1,cdu,Carandiru,9
2020-01-02,2020,1,con,Conceição,24.6
2020-01-02,2020,1,jab,Jabaquara,82.7
2020-01-02,2020,1,jpa,Jardim São Paulo-Ayrton Senna,7.2
2020-01-02,2020,1,jqm,São Joaquim,14.2
2020-01-02,2020,1,jud,São Judas,11.7
2020-01-02,2020,1,lib,Japão-Liberdade,14.6
2020-01-02,2020,1,luz,Luz,89.6
2020-01-02,2020,1,pig,Parada Inglesa,8.6
2020-01-02,2020,1,ppq,Armênia,17.9
2020-01-02,2020,1,pse,Sé,14.6
2020-01-02,2020,1,pso,Paraíso,13.6
2020-01-02,2020,1,san,Santana,36.4
2020-01-02,2020,1,sau,Saúde,20.4
2020-01-02,2020,1,scz,Santa Cruz,65.9
2020-01-02,2020,1,trd,Tiradentes,6.9
2020-01-02,2020,1,tte,Portuguesa-Tietê,64.5
2020-01-02,2020,1,tuc,Tucuruvi,43.5
2020-01-02,2020,1,vgo,Vergueiro,16.9
2020-01-02,2020,1,vmn,Vila Mariana,10.6
2020-01-02,2020,2,aip,Alto do Ipiranga,10.6
2020-01-02,2020,2,anr,Ana Rosa,6.5
2020-01-02,2020,2,bgd,Brigadeiro,37.2
2020-01-02,2020,2,ckb,Chácara Klabin,44.9
2020-01-02,2020,2,cli,Clínicas,13.4
2020-01-02,2020,2,cns,Consolação,66.3
2020-01-02,2020,2,img,Santos-Imigrantes,9.2
2020-01-02,2020,2,pso,Paraíso,7.6
2020-01-02,2020,2,sac,Sacomã,25.9
2020-01-02,2020,2,sum,Sumaré,6.8
2020-01-02,2020,2,tri,Trianon-Masp,33.3
2020-01-02,2020,2,tti,Tamanduateí,46.7
2020-01-02,2020,2,vmd,Vila Madalena,13.2
2020-01-02,2020,2,vpt,Vila Prudente,16.7
2020-01-02,2020,3,art,Artur Alvim,40.4
2020-01-02,2020,3,bas,Brás,66.6
2020-01-02,2020,3,bel,Belém,27.7
2020-01-02,2020,3,bfu,Palmeiras-Barra Funda,129.2
2020-01-02,2020,3,bre,Bresser-Moóca,19.9
2020-01-02,2020,3,car,Carrão,26.5
2020-01-02,2020,3,cec,Santa Cecília,19.3
2020-01-02,2020,3,deo,Marechal Deodoro,19
2020-01-02,2020,3,gbu,Anhangabaú,39.7
2020-01-02,2020,3,itq,Corinthians-Itaquera,60.9
2020-01-02,2020,3,pca,Patriarca,15.2
2020-01-02,2020,3,pds,Pedro II,14.7
2020-01-02,2020,3,pen,Penha,20.2
2020-01-02,2020,3,pse,Sé,21.1
2020-01-02,2020,3,rep,República,97.4
2020-01-02,2020,3,tat,Tatuapé,55.5
2020-01-02,2020,3,vpa,Guilhermina-Esperança,14.6
2020-01-02,2020,3,vtd,Vila Matilde,17.1
2020-01-02,2020,15,cad,Camilo Haddad,1.9
2020-01-02,2020,15,fjt,Fazenda da Juta,0.4
2020-01-02,2020,15,jpl,Jardim Planalto,4.6
2020-01-02,2020,15,mat,São Mateus,1.8
2020-01-02,2020,15,ort,Oratório,2.9
2020-01-02,2020,15,sap,Sapopemba,1.1
