date,line_number,station_name,avg_passenger,year
2020-01-01,1,Jabaquara,80,2020
2020-02-01,1,Jabaquara,87,2020
2020-03-01,1,Jabaquara,59,2020
2020-04-01,1,Jabaquara,22,2020
2020-05-01,1,Jabaquara,25,2020
2020-06-01,1,Jabaquara,29,2020
2020-07-01,1,Jabaquara,35,2020
2020-08-01,1,Jabaquara,39,2020
2020-09-01,1,Jabaquara,43,2020
2020-10-01,1,Jabaquara,48,2020
2020-11-01,1,Jabaquara,49,2020
2020-12-01,1,Jabaquara,48,2020
2020-01-01,1,Conceição,35,2020
2020-02-01,1,Conceição,40,2020
2020-03-01,1,Conceição,25,2020
2020-04-01,1,Conceição,7,2020
2020-05-01,1,Conceição,8,2020
2020-06-01,1,Conceição,10,2020
2020-07-01,1,Conceição,12,2020
2020-08-01,1,Conceição,13,2020
2020-09-01,1,Conceição,14,2020
2020-10-01,1,Conceição,15,2020
2020-11-01,1,Conceição,16,2020
2020-12-01,1,Conceição,16,2020
2020-01-01,1,São Judas,18,2020
2020-02-01,1,São Judas,21,2020
2020-03-01,1,São Judas,13,2020
2020-04-01,1,São Judas,3,2020
2020-05-01,1,São Judas,4,2020
2020-06-01,1,São Judas,5,2020
2020-07-01,1,São Judas,6,2020
2020-08-01,1,São Judas,7,2020
2020-09-01,1,São Judas,8,2020
2020-10-01,1,São Judas,9,2020
2020-11-01,1,São Judas,9,2020
2020-12-01,1,São Judas,9,2020
2020-01-01,1,Saúde,31,2020
2020-02-01,1,Saúde,36,2020
2020-03-01,1,Saúde,24,2020
2020-04-01,1,Saúde,7,2020
2020-05-01,1,Saúde,8,2020
2020-06-01,1,Saúde,10,2020
2020-07-01,1,Saúde,12,2020
2020-08-01,1,Saúde,13,2020
2020-09-01,1,Saúde,15,2020
2020-10-01,1,Saúde,16,2020
2020-11-01,1,Saúde,17,2020
2020-12-01,1,Saúde,17,2020
2020-01-01,1,Praça da Árvore,19,2020
2020-02-01,1,Praça da Árvore,22,2020
2020-03-01,1,Praça da Árvore,14,2020
2020-04-01,1,Praça da Árvore,4,2020
2020-05-01,1,Praça da Árvore,4,2020
2020-06-01,1,Praça da Árvore,5,2020
2020-07-01,1,Praça da Árvore,7,2020
2020-08-01,1,Praça da Árvore,8,2020
2020-09-01,1,Praça da Árvore,9,2020
2020-10-01,1,Praça da Árvore,10,2020
2020-11-01,1,Praça da Árvore,10,2020
2020-12-01,1,Praça da Árvore,10,2020
2020-01-01,1,Santa Cruz,102,2020
2020-02-01,1,Santa Cruz,119,2020
2020-03-01,1,Santa Cruz,77,2020
2020-04-01,1,Santa Cruz,25,2020
2020-05-01,1,Santa Cruz,28,2020
2020-06-01,1,Santa Cruz,34,2020
2020-07-01,1,Santa Cruz,43,2020
2020-08-01,1,Santa Cruz,49,2020
2020-09-01,1,Santa Cruz,55,2020
2020-10-01,1,Santa Cruz,60,2020
2020-11-01,1,Santa Cruz,64,2020
2020-12-01,1,Santa Cruz,63,2020
2020-01-01,1,Vila Mariana,19,2020
2020-02-01,1,Vila Mariana,26,2020
2020-03-01,1,Vila Mariana,17,2020
2020-04-01,1,Vila Mariana,4,2020
2020-05-01,1,Vila Mariana,5,2020
2020-06-01,1,Vila Mariana,6,2020
2020-07-01,1,Vila Mariana,7,2020
2020-08-01,1,Vila Mariana,8,2020
2020-09-01,1,Vila Mariana,9,2020
2020-10-01,1,Vila Mariana,10,2020
2020-11-01,1,Vila Mariana,10,2020
2020-12-01,1,Vila Mariana,10,2020
2020-01-01,1,Ana Rosa,79,2020
2020-02-01,1,Ana Rosa,96,2020
2020-03-01,1,Ana Rosa,60,2020
2020-04-01,1,Ana Rosa,18,2020
2020-05-01,1,Ana Rosa,20,2020
2020-06-01,1,Ana Rosa,23,2020
2020-07-01,1,Ana Rosa,29,2020
2020-08-01,1,Ana Rosa,34,2020
2020-09-01,1,Ana Rosa,38,2020
2020-10-01,1,Ana Rosa,41,2020
2020-11-01,1,Ana Rosa,43,2020
2020-12-01,1,Ana Rosa,41,2020
2020-01-01,1,Paraíso,100,2020
2020-02-01,1,Paraíso,120,2020
2020-03-01,1,Paraíso,75,2020
2020-04-01,1,Paraíso,22,2020
2020-05-01,1,Paraíso,24,2020
2020-06-01,1,Paraíso,29,2020
2020-07-01,1,Paraíso,35,2020
2020-08-01,1,Paraíso,41,2020
2020-09-01,1,Paraíso,46,2020
2020-10-01,1,Paraíso,49,2020
2020-11-01,1,Paraíso,52,2020
2020-12-01,1,Paraíso,50,2020
2020-01-01,1,Vergueiro,27,2020
2020-02-01,1,Vergueiro,33,2020
2020-03-01,1,Vergueiro,23,2020
2020-04-01,1,Vergueiro,8,2020
2020-05-01,1,Vergueiro,9,2020
2020-06-01,1,Vergueiro,10,2020
2020-07-01,1,Vergueiro,12,2020
2020-08-01,1,Vergueiro,13,2020
2020-09-01,1,Vergueiro,14,2020
2020-10-01,1,Vergueiro,15,2020
2020-11-01,1,Vergueiro,16,2020
2020-12-01,1,Vergueiro,15,2020
2020-01-01,1,São Joaquim,23,2020
2020-02-01,1,São Joaquim,39,2020
2020-03-01,1,São Joaquim,31,2020
2020-04-01,1,São Joaquim,6,2020
2020-05-01,1,São Joaquim,7,2020
2020-06-01,1,São Joaquim,8,2020
2020-07-01,1,São Joaquim,9,2020
2020-08-01,1,São Joaquim,11,2020
2020-09-01,1,São Joaquim,12,2020
2020-10-01,1,São Joaquim,13,2020
2020-11-01,1,São Joaquim,13,2020
2020-12-01,1,São Joaquim,13,2020
2020-01-01,1,Japão-Liberdade,22,2020
2020-02-01,1,Japão-Liberdade,27,2020
2020-03-01,1,Japão-Liberdade,18,2020
2020-04-01,1,Japão-Liberdade,5,2020
2020-05-01,1,Japão-Liberdade,6,2020
2020-06-01,1,Japão-Liberdade,7,2020
2020-07-01,1,Japão-Liberdade,9,2020
2020-08-01,1,Japão-Liberdade,10,2020
2020-09-01,1,Japão-Liberdade,11,2020
2020-10-01,1,Japão-Liberdade,12,2020
2020-11-01,1,Japão-Liberdade,12,2020
2020-12-01,1,Japão-Liberdade,13,2020
2020-01-01,1,Sé,202,2020
2020-02-01,1,Sé,228,2020
2020-03-01,1,Sé,156,2020
2020-04-01,1,Sé,54,2020
2020-05-01,1,Sé,62,2020
2020-06-01,1,Sé,76,2020
2020-07-01,1,Sé,92,2020
2020-08-01,1,Sé,103,2020
2020-09-01,1,Sé,114,2020
2020-10-01,1,Sé,122,2020
2020-11-01,1,Sé,127,2020
2020-12-01,1,Sé,128,2020
2020-01-01,1,São Bento,68,2020
2020-02-01,1,São Bento,72,2020
2020-03-01,1,São Bento,42,2020
2020-04-01,1,São Bento,9,2020
2020-05-01,1,São Bento,11,2020
2020-06-01,1,São Bento,18,2020
2020-07-01,1,São Bento,25,2020
2020-08-01,1,São Bento,30,2020
2020-09-01,1,São Bento,35,2020
2020-10-01,1,São Bento,39,2020
2020-11-01,1,São Bento,42,2020
2020-12-01,1,São Bento,43,2020
2020-01-01,1,Luz,134,2020
2020-02-01,1,Luz,152,2020
2020-03-01,1,Luz,94,2020
2020-04-01,1,Luz,23,2020
2020-05-01,1,Luz,29,2020
2020-06-01,1,Luz,39,2020
2020-07-01,1,Luz,49,2020
2020-08-01,1,Luz,57,2020
2020-09-01,1,Luz,64,2020
2020-10-01,1,Luz,70,2020
2020-11-01,1,Luz,74,2020
2020-12-01,1,Luz,75,2020
2020-01-01,1,Tiradentes,13,2020
2020-02-01,1,Tiradentes,18,2020
2020-03-01,1,Tiradentes,12,2020
2020-04-01,1,Tiradentes,3,2020
2020-05-01,1,Tiradentes,4,2020
2020-06-01,1,Tiradentes,5,2020
2020-07-01,1,Tiradentes,6,2020
2020-08-01,1,Tiradentes,7,2020
2020-09-01,1,Tiradentes,7,2020
2020-10-01,1,Tiradentes,8,2020
2020-11-01,1,Tiradentes,8,2020
2020-12-01,1,Tiradentes,8,2020
2020-01-01,1,Armênia,25,2020
2020-02-01,1,Armênia,28,2020
2020-03-01,1,Armênia,19,2020
2020-04-01,1,Armênia,6,2020
2020-05-01,1,Armênia,7,2020
2020-06-01,1,Armênia,8,2020
2020-07-01,1,Armênia,11,2020
2020-08-01,1,Armênia,12,2020
2020-09-01,1,Armênia,13,2020
2020-10-01,1,Armênia,14,2020
2020-11-01,1,Armênia,15,2020
2020-12-01,1,Armênia,14,2020
2020-01-01,1,Portuguesa-Tietê,59,2020
2020-02-01,1,Portuguesa-Tietê,60,2020
2020-03-01,1,Portuguesa-Tietê,38,2020
2020-04-01,1,Portuguesa-Tietê,13,2020
2020-05-01,1,Portuguesa-Tietê,14,2020
2020-06-01,1,Portuguesa-Tietê,17,2020
2020-07-01,1,Portuguesa-Tietê,20,2020
2020-08-01,1,Portuguesa-Tietê,23,2020
2020-09-01,1,Portuguesa-Tietê,26,2020
2020-10-01,1,Portuguesa-Tietê,30,2020
2020-11-01,1,Portuguesa-Tietê,32,2020
2020-12-01,1,Portuguesa-Tietê,33,2020
2020-01-01,1,Carandiru,13,2020
2020-02-01,1,Carandiru,16,2020
2020-03-01,1,Carandiru,10,2020
2020-04-01,1,Carandiru,3,2020
2020-05-01,1,Carandiru,3,2020
2020-06-01,1,Carandiru,4,2020
2020-07-01,1,Carandiru,5,2020
2020-08-01,1,Carandiru,5,2020
2020-09-01,1,Carandiru,6,2020
2020-10-01,1,Carandiru,6,2020
2020-11-01,1,Carandiru,7,2020
2020-12-01,1,Carandiru,6,2020
2020-01-01,1,Santana,57,2020
2020-02-01,1,Santana,65,2020
2020-03-01,1,Santana,43,2020
2020-04-01,1,Santana,15,2020
2020-05-01,1,Santana,17,2020
2020-06-01,1,Santana,21,2020
2020-07-01,1,Santana,25,2020
2020-08-01,1,Santana,29,2020
2020-09-01,1,Santana,32,2020
2020-10-01,1,Santana,33,2020
2020-11-01,1,Santana,36,2020
2020-12-01,1,Santana,35,2020
2020-01-01,1,Jardim São Paulo-Ayrton Senna,13,2020
2020-02-01,1,Jardim São Paulo-Ayrton Senna,16,2020
